Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
2006,106,210,8/14/2006,1058,152,16,2.53,42,
2006,107,209,8/14/2006,920,152,12,0.67,40,
2006,108,225,8/14/2006,1036,160,1.55,0.95,46,
2006,109,226,8/14/2006,746,158,14,2.73,42,
2006,110,249,8/15/2006,956,162,76,5.3,55,
2006,111,249,8/15/2006,940,170,122,2.18,53,
2006,112,227,8/15/2006,1048,144,93,2.53,58,
2006,113,238,8/16/2006,1120,148,16.2,2.57,46,
2006,114,237,8/16/2006,1038,168,2,2.65,48,
2006,115,247,8/16/2006,1084,148,0,1.28,40,
2006,116,340,8/16/2006,1030,166,0.34,1.05,42,
2006,117,344,8/17/2006,808,150,4,1.75,50,
2006,118,346,8/17/2006,2296,164,934,9.47,42,
2006,119,347,8/17/2006,2042,180,1160,4,44,
2006,120,348,8/17/2006,1508,145,200,16,64,
2006,121,342,8/18/2006,808,148,36,5.92,64,
2006,122,341,8/18/2006,636,150,36,0,50,
2006,123,342,8/19/2006,646,152,8,0,54,
2006,124,345,8/19/2006,444,156,6,0,48,
2006,125,236,8/19/2006,414,156,14,0,42,
