"","ADFG_Station","Latitude","Longitude","NMFS_Station","Area_Nm2","ADFG_tier","NOAA_tier","CPT_STD","1976_NOAA","1979_NOAA","1982_NOAA","1985_NOAA","1988_NOAA","1991_NOAA","1996_ADFG","1999_ADFG","2002_ADFG","2006_ADFG","2008_ADFG","2010_NBS","2011_ADFG","2014_ADFG","2017_ADFG","2017_NBS","2018_ADFG","2019_ADFG","2019_NBS","2020_ADFG","2021_ADFG","2021_NBS","2022_NBS","2023_ADFG","2023_NBS"
"53",93,63.83333333,-161.2075,"F01",100,"O","O","O",21445.0918082251,NA,NA,NA,NA,NA,NA,NA,NA,21700.3905202278,15190.2733641595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",94,63.83333333,-161.5838333,"F02",100,"t2","S","S",12152.2186913276,8101.47912755171,0,8047.82694789905,0,NA,NA,NA,11684.825664738,0,NA,NA,18753.4239063697,NA,15190.2733641595,NA,30380.5467283189,NA,NA,0,NA,NA,NA,NA,NA
"55",95,63.83333333,-161.96,"F03",100,"t2","S","S",12791.8091487659,NA,NA,NA,NA,NA,NA,NA,0,136712.460277435,60761.0934566378,NA,17663.1085629761,NA,15190.2733641595,NA,45570.8200924784,NA,NA,0,NA,NA,NA,NA,NA
"56",96,63.83333333,-162.3363333,"F04",100,"t3","S","O",36456.6560739827,8101.47912755171,15002.7391250958,8266.81543627726,0,NA,NA,NA,NA,60761.0934566378,60761.0934566378,NA,91141.6401849568,NA,15190.2733641595,NA,30380.5467283189,NA,NA,15190.2733641595,15190.2733641595,NA,NA,91141.6401849568,NA
"57",97,63.83333333,-162.7125,"F05",100,"t3","S","O",NA,NA,NA,NA,NA,NA,NA,13809.3394219631,NA,30380.5467283189,NA,NA,0,NA,NA,NA,0,NA,NA,75951.3668207973,15190.2733641595,NA,NA,15190.2733641595,NA
"58",98,63.83333333,-163.0888333,"F06",100,"t3","S","S",35741.8196803752,0,7994.88071797866,7595.13668207973,0,NA,NA,75951.3668207973,NA,15190.2733641595,15190.2733641595,NA,0,NA,15190.2733641595,NA,NA,NA,NA,30380.5467283189,0,NA,NA,NA,NA
"59",99,63.83333333,-163.465,"F07",100,"t3","S","S",57186.9114886003,0,7455.34889038501,16878.0815157327,0,NA,NA,11684.825664738,NA,15190.2733641595,30380.5467283189,NA,0,NA,0,NA,45570.8200924784,NA,NA,15190.2733641595,NA,NA,NA,NA,NA
"60",100,63.83333333,-163.8413333,"F08",100,"t3","S","S",162029.582551034,16202.9582551034,7891.05109826465,15190.2733641595,0,NA,NA,82856.0365317789,NA,30380.5467283189,15190.2733641595,NA,15190.2733641595,NA,15190.2733641595,NA,15190.2733641595,0,NA,0,NA,NA,NA,NA,NA
"61",101,63.83333333,-164.2175,"F09",100,"t3","S","S",NA,0,0,0,0,NA,NA,0,0,151902.733641595,45570.8200924784,NA,15190.2733641595,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA
"62",102,63.83333333,-164.5938333,"F10",100,"t3","S","S",21445.0918082251,0,0,18228.3280369914,15190.2733641595,0,NA,37975.6834103987,0,15190.2733641595,0,NA,15190.2733641595,NA,15190.2733641595,NA,0,15190.2733641595,NA,0,NA,NA,NA,15190.2733641595,NA
"63",103,63.83333333,-164.97,"F11",100,"t1","S","S",11573.5416107882,16202.9582551034,7789.88377649203,8101.47912755171,33067.261745109,52455.6202503348,0,46739.3026589522,43400.7810404556,15190.2733641595,30380.5467283189,NA,15190.2733641595,60761.0934566378,15190.2733641595,NA,15190.2733641595,0,NA,15190.2733641595,NA,NA,NA,0,NA
"64",104,63.83333333,-165.3461667,"F12",100,"t1","S","S",31979.5228719147,0,7547.96192007923,0,23073.8329582169,145484.308276457,11595.6285222591,91141.6401849568,108501.952601139,60761.0934566378,45570.8200924784,NA,91141.6401849568,30380.5467283189,15190.2733641595,NA,45570.8200924784,60761.0934566378,NA,60761.0934566378,NA,NA,NA,243044.373826551,NA
"65",105,63.83333333,-165.7225,"F13",100,"t1","S","S",129117.323595355,0,15885.2531912779,8047.82694789905,81014.7912755171,8805.95557342578,32319.7305620414,0,40507.3956377586,106331.913549116,30380.5467283189,NA,45570.8200924784,121522.186913276,91141.6401849568,NA,0,2749439.47891286,NA,45570.8200924784,NA,NA,NA,106331.913549116,NA
"66",106,63.83333333,-166.0986667,"F14",100,"t1","S","S",100077.095105051,97217.7495306205,279820.825129253,95938.568615744,115369.164791085,51347.4029211024,149601.177071267,56963.525115598,0,30380.5467283189,0,NA,45570.8200924784,91141.6401849568,45570.8200924784,NA,30380.5467283189,106331.913549116,NA,15190.2733641595,NA,NA,NA,60761.0934566378,NA
"67",107,63.83333333,-166.475,"F15",100,"t1","S","S",0,NA,NA,8101.47912755171,7364.98102504701,16761.6809535553,35882.5355058885,0,0,0,0,NA,0,0,0,NA,0,0,NA,15190.2733641595,NA,NA,NA,0,NA
"68",108,63.83333333,-166.8511667,"F16",225,"O","O","O",NA,17089.0575346794,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",110,63.83333333,-167.6036667,"F18/N110",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",112,63.76911111,-168.3361111,"F20/N087",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",113,63.76666667,-168.8833333,"F21",100,"ONS","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",120,64,-161.1851667,"G01",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45570.8200924784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",121,64,-161.5636667,"G02",100,"t2","S","S",7595.13668207973,7595.13668207973,7547.96192007923,15285.8096746259,30191.8476803169,NA,NA,NA,NA,0,30380.5467283189,30479.6443000284,0,NA,0,0,15190.2733641595,NA,0,0,NA,33177.8406908144,636168.484978999,NA,33497.7862213763
"74",122,64,-161.9421667,"G03",100,"t2","S","S",0,NA,NA,NA,NA,NA,NA,NA,43400.7810404556,15190.2733641595,15190.2733641595,NA,683562.301387176,NA,30380.5467283189,NA,15190.2733641595,NA,NA,15190.2733641595,NA,NA,NA,15190.2733641595,NA
"75",123,64,-162.3206667,"G04",100,"c","S","S",0,0,0,24632.875725664,60761.0934566378,NA,40507.3956377586,0,45570.8200924784,30380.5467283189,30380.5467283189,31896.6604290544,45570.8200924784,0,30380.5467283189,69441.5679226202,15190.2733641595,15190.2733641595,32735.0319638038,15190.2733641595,0,32701.1338413455,379014.794189655,0,65773.587197214
"76",124,64,-162.699,"G05",100,"c","S","S",0,NA,NA,NA,NA,NA,34008.0746958794,0,15190.2733641595,30380.5467283189,121522.186913276,NA,15190.2733641595,60761.0934566378,15190.2733641595,NA,0,0,NA,30380.5467283189,0,NA,NA,NA,NA
"77",125,64,-163.0775,"G06",100,"c","S","S",0,16202.9582551034,NA,51347.4029211024,7409.88944593144,44459.3366755887,35741.8196803752,45570.8200924784,30380.5467283189,60761.0934566378,45570.8200924784,123564.466120333,45570.8200924784,106331.913549116,45570.8200924784,354653.392935352,0,NA,0,106331.913549116,30380.5467283189,508988.552692808,104637.833847774,NA,0
"78",126,64,-163.456,"G07",100,"c","S","S",71483.6393607504,16202.9582551034,49745.9244674228,25494.1650867012,0,0,8439.04075786637,15190.2733641595,45570.8200924784,45570.8200924784,60761.0934566378,NA,45570.8200924784,212663.827098232,45570.8200924784,NA,0,15190.2733641595,NA,227854.100462392,0,NA,NA,NA,NA
"79",127,64,-163.8345,"G08",100,"c","S","S",0,NA,39455.2554913233,49940.6247588804,7364.98102504701,0,11087.7907767587,0,30380.5467283189,121522.186913276,15190.2733641595,122311.340591022,60761.0934566378,121522.186913276,NA,0,167093.007005754,45570.8200924784,111817.062855412,30380.5467283189,121522.186913276,543415.832245851,680656.082058428,60761.0934566378,31307.6264638461
"80",128,64,-164.213,"G09",100,"c","S","S",26417.8667202773,48608.8747653103,7789.88377649203,78401.4109117908,7595.13668207973,0,23369.6513294761,45570.8200924784,0,60761.0934566378,45570.8200924784,NA,45570.8200924784,30380.5467283189,0,NA,136712.460277435,15190.2733641595,NA,15190.2733641595,15190.2733641595,NA,NA,15190.2733641595,NA
"81",129,64,-164.5915,"G10",100,"c","S","S",57563.1411694464,0,7891.05109826465,24800.4463088318,0,0,0,151902.733641595,10126.8489094396,60761.0934566378,182283.280369914,119824.044265086,15190.2733641595,30380.5467283189,30380.5467283189,31317.0463310909,NA,0,388696.096368065,15190.2733641595,106331.913549116,497534.494087002,60874.6714122438,75951.3668207973,63043.4649414285
"82",130,64,-164.97,"G11",100,"c","S","S",23147.0832215763,32405.9165102068,126256.817572234,26040.4686242734,15382.5553054779,14641.2273389489,63735.412716753,58424.1283236902,50634.2445471982,0,0,NA,45570.8200924784,0,0,NA,60761.0934566378,0,NA,30380.5467283189,0,NA,NA,15190.2733641595,NA
