HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
-17358,94,201702,19,3,0,8172017,730,0.536,3.092,15.198,Y,2.697,61.3304,-166.91177,T-03,18,21,11.8,11.8,137,44,15,1,0.013700738,69322,,,,,,,,,,,,,,,
-17092,162,201702,15,3,0,8042017,1253,0.523,2.955,15.575,Y,2.319,61.33044,-168.74267,T-18,32,34,10,8.9,137,44,15,1,0.013418488,69322,,,,,,,,,,,,,,,
-17081,94,201702,16,3,0,8042017,1230,0.509,2.795,15.731,Y,2.243,61.32645,-169.45852,T-19,38,40,10.9,4.4,137,44,15,1,0.01281906,69322,,,,,,,,,,,,,,,
-17087,162,201702,10,3,0,8032017,1026,0.519,2.845,16.474,Y,2.091,61.33137,-170.1774,T-20,45,47,10.7,-0.4,183,44,15,1,0.013664677,69322,,,,,,,,,,,,,,,
-17076,94,201702,11,3,0,8032017,1005,0.517,2.737,16.283,Y,2.139,61.33543,-170.84629,T-21,47,49,10.6,-0.7,183,44,15,2,0.012993533,69322,,,,,,,,,,,,,,,
-17074,94,201702,9,3,0,8022017,1813,0.506,2.761,16.389,Y,2.473,61.3312,-171.5116,T-22,53,55,11.8,-1.1,183,44,15,1,0.013192798,69322,,,,,,,,,,,,,,,
-17069,94,201702,4,3,0,8012017,1506,0.513,2.863,18.668,Y,2.025,61.33567,-172.25823,T-23,62,64,11.8,-1.4,229,44,15,1,0.015582501,69322,,,,,,,,,,,,,,,
-17068,94,201702,3,3,0,8012017,1236,0.339,1.79,17.711,Y,2.102,61.34035,-172.93407,T-24,66,68,11.5,-1.4,229,44,15,1,0.009243025,69322,,,,,,,,,,,,,,,
-17443,162,201702,86,3,0,9012017,1413,0.519,2.899,14.509,Y,2.864,61.66796,-168.0963,U-01,26,29,9.1,7.3,137,44,15,1,0.012263198,69322,,,,,,,,,,,,,,,
-17417,94,201702,54,3,0,8262017,744,0.532,2.925,15.54,Y,2.303,61.67795,-167.4185,U-02,22,24,10.8,9.5,137,44,15,1,0.013252412,69322,,,,,,,,,,,,,,,
-17359,94,201702,20,3,0,8172017,1117,0.535,3.042,15.398,Y,2.59,61.64634,-166.74446,U-03,19,22,12.5,12.4,137,44,15,1,0.013656568,69322,,,,,,,,,,,,,,,
