Year,Agent,Haul,ADFG_Station,Haul_rate,Month,Day,Latitude,Longitude,Swept_km2,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp,Area_Nm2,ADFG_tier,CPT_STD,rf,female,Legal,SubLegal
2020,ADFG,16,122,0,8,3,64.0125,-161.9413333,0.022579584,0.00658316,0,0,0,100,t2,S,0,2,0,1
2020,ADFG,17,123,0,8,3,63.989,-162.313,0.022579584,0.00658316,0,0,0,100,c,S,0,6,0,2
2020,ADFG,18,96,0,8,3,63.83383333,-162.3575,0.022579584,0.00658316,0,0,0,100,t3,O,0,1,0,0
2020,ADFG,19,97,0,8,3,63.8345,-162.724,0.022579584,0.00658316,0,0,0,100,t3,O,0,5,0,0
2020,ADFG,20,124,0,8,3,63.98633333,-162.7275,0.022579584,0.00658316,0,0,0,100,c,S,0,2,0,0
2020,ADFG,21,125,0,8,3,63.99383333,-163.0995,0.022579584,0.00658316,0,0,0,100,c,S,0,4,0,10
2020,ADFG,22,98,0,8,3,63.83283333,-163.1225,0.022579584,0.00658316,0,0,0,100,t3,S,0,2,0,3
2020,ADFG,23,126,0,8,4,63.99716667,-163.5266667,0.022579584,0.00658316,0,0,0,100,c,S,0,14,0,24
2020,ADFG,24,99,0,8,4,63.83066667,-163.4566667,0.022579584,0.00658316,0,0,0,100,t3,S,0,0,0,1
2020,ADFG,25,100,0,8,4,63.832,-163.8456667,0.022579584,0.00658316,0,0,0,100,t3,S,0,0,0,0
2020,ADFG,26,101,0,8,4,63.84016667,-164.8401667,0.022579584,0.00658316,0,0,0,100,t3,S,0,0,0,0
2020,ADFG,27,102,0,8,4,63.83416667,-164.5018333,0.022579584,0.00658316,0,0,0,100,t3,S,0,0,0,0
2020,ADFG,28,129,0,8,4,63.99583333,-164.5866667,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,2
2020,ADFG,29,128,0,8,5,63.98866667,-164.2423333,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,0
2020,ADFG,30,127,0,8,5,64.00833333,-163.8505,0.022579584,0.00658316,0,0,0,100,c,S,0,4,0,6
2020,ADFG,31,154,0,8,5,64.16733333,-163.833,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,32,155,0,8,5,64.16683333,-164.1895,0.022579584,0.00658316,0,0,0,100,c,S,0,2,0,0
2020,ADFG,33,181,0,8,5,64.327,-164.2418333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,34,182,0,8,5,64.329,-164.6091667,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,0
2020,ADFG,35,183,0,8,6,64.33566667,-164.9615,0.022579584,0.00658316,0,0,0,100,c,S,0,0,2,5
2020,ADFG,36,184,0,8,6,64.33833333,-165.3541667,0.022579584,0.00658316,0,0,0,100,c,S,0,1,1,3
2020,ADFG,37,185,0,8,6,64.335,-165.7236667,0.022579584,0.00658316,0,0,0,100,c,S,0,25,0,5
2020,ADFG,38,186,0,8,6,64.33,-166.1008333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,2
2020,ADFG,39,187,0,8,7,64.325,-166.4143333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,40,161,0,8,7,64.15466667,-166.4728333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,41,134,0,8,7,64.004,-166.4601667,0.022579584,0.00658316,0,0,0,100,c,S,0,0,1,0
2020,ADFG,42,160,0,8,11,64.17666667,-166.0258333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,43,159,0,8,11,64.16466667,-165.7476667,0.022579584,0.00658316,0,0,0,100,c,S,0,0,6,8
2020,ADFG,44,158,0,8,11,64.16233333,-165.377,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,0
2020,ADFG,45,157,0,8,12,64.16183333,-164.9611667,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,46,156,0,8,12,64.16316667,-164.6016667,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,1
2020,ADFG,47,130,0,8,12,64.00766667,-164.95,0.022579584,0.00658316,0,0,0,100,c,S,0,2,0,0
2020,ADFG,48,161,0,8,12,64.002,-165.3611667,0.022579584,0.00658316,0,0,0,100,c,S,0,102,1,18
2020,ADFG,49,132,0,8,12,63.99233333,-165.7215,0.022579584,0.00658316,0,0,0,100,c,S,0,0,2,3
2020,ADFG,50,133,0,8,12,63.99816667,-166.0958333,0.022579584,0.00658316,0,0,0,100,c,S,0,1,1,1
2020,ADFG,51,106,0,8,12,63.83966667,-166.1046667,0.022579584,0.00658316,0,0,0,100,t1,S,0,1,0,0
2020,ADFG,52,107,0,8,13,63.819,-166.4716667,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,1
2020,ADFG,53,82,0,8,13,63.67066667,-166.4561667,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,0
2020,ADFG,54,81,0,8,13,63.67383333,-166.0733333,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,0
2020,ADFG,55,80,0,8,13,63.66316667,-165.7291667,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,0
2020,ADFG,56,79,0,8,13,63.65016667,-165.353,0.022579584,0.00658316,0,0,0,100,t1,S,0,3,1,17
2020,ADFG,57,78,0,8,13,63.6645,-164.967,0.022579584,0.00658316,0,0,0,100,t1,O,0,2,0,0
2020,ADFG,58,103,0,8,14,63.837,-164.9811667,0.022579584,0.00658316,0,0,0,100,t1,S,0,1,0,0
2020,ADFG,59,104,0,8,14,63.8315,-165.3561667,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,4
2020,ADFG,60,105,0,8,14,63.8355,-165.6818333,0.022579584,0.00658316,0,0,0,100,t1,S,0,0,0,3
