# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
21347,Hemilepidotus jordani,yellow Irish lord,Hemilepidotus,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21348,Hemilepidotus papilio  (=Melletes papilio),butterfly sculpin,Hemilepidotus,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21350,Triglops sp.,None,Triglops,High,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling
21353,Triglops metopias,crescent-tail sculpin,Triglops,,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling
21355,Triglops pingeli,ribbed sculpin,Triglops,Moderate,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling
21356,Triglops macellus,roughspine sculpin,Triglops,Moderate,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling
21360,Microcottus sellaris,brightbelly sculpin,Microcottus,Low,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21362,Artedius fenestralis,Padded Sculpin,Microcottus,Low,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21368,Myoxocephalus verrucosus(=M. groenlandicus=M. scorpius),warty sculpin  (=shorthorned sculpin),Myoxocephalus,High,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21370,Myoxocephalus polyacanthocephalus,great sculpin,Myoxocephalus,High,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21371,Myoxocephalus jaok,plain sculpin,Myoxocephalus,High,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21373,Myoxocephalus stelleri (=M. stelleri mednius),frog sculpin,Myoxocephalus,,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21375,Myoxocephalus sp.,Myoxocephalus unidentified,Myoxocephalus,High,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21376,Megalocottus platycephalus,belligerent sculpin,Megalocottus,Low,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21377,Myoxocephalus quadricornis,fourhorn sculpin,Myoxocephalus,Low,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21378,Myoxocephalus scorpioides,Arctic sculpin,Myoxocephalus,Low,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21379,Trichocottus brashnikovi,Hairhead Sculpin,Myoxocephalus,Low,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling
21380,Leptocottus armatus,Pacific staghorn sculpin,Leptocottus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21384,Enophrys sp.,None,Enophrys,,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling
21387,Enophrys lucasi,leister sculpin,Enophrys,Low,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling
21388,Enophrys diceraus  (=Enophrys claviger),antlered sculpin,Enophrys,High,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling
21390,Dasycottus setiger,spinyhead sculpin,Dasycottus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21393,Psychrolutes sp.,None,Psychrolutes,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21394,Psychrolutes paradoxus,tadpole sculpin,Psychrolutes,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21397,Blepsias bilobus,crested sculpin,Blepsias,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
