# 1996 Trawl survey species data,,,,,,,,,,,
# Subsamples were weights and numbers were already converted to whole weight and numbers,,,,,,,,,,,
# Original Subsample data could not be located,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,Spcode,Wt.Sample1,No.Sample2,Wt.Sample2,No.Sample2,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
1996,9,99999,5.5,0,0,0,,,71.6,0,
1996,10,10210,0.2,26,0,0,,,0.8,100,
1996,10,10220,0.25,1,0,0,,,1,4,
1996,10,10285,2,26,0,0,,,7.7,100,
1996,10,20040,0.02,2,0,0,,,0.1,8,
1996,10,21314,0.3,7,0,0,,,1.1,27,
1996,10,21371,1.55,17,0,0,,,5.9,65,
1996,10,21405,0.02,2,0,0,,,0.1,8,
1996,10,21735,0.6,6,0,0,,,2.3,23,
1996,10,41201,0.2,0,0,0,,,0.8,0,
1996,10,43040,2,21,0,0,,,7.7,80,
1996,10,65201,0.2,1,0,0,,,0.8,4,
1996,10,66548,0.15,5,0,0,,,0.6,19,
1996,10,66601,0.01,1,0,0,,,0,4,
1996,10,66611,0.3,24,0,0,,,1.1,92,
1996,10,68781,0.6,2,0,0,,,2.3,8,
1996,10,69120,0.9,10,0,0,,,3.4,38,
1996,10,69322,0,0,0,0,,,1.25,2,
1996,10,71001,0.1,1,0,0,,,0.4,4,
1996,10,71772,0.4,2,0,0,,,1.5,8,
1996,10,71882,0.7,2,0,0,,,2.7,8,
1996,10,80200,1.8,5,0,0,,,6.9,19,
1996,10,81742,24.7,0,0,0,,,94.7,0,
1996,10,82510,1.25,27,0,0,,,4.8,103,
1996,10,83020,0.05,1,0,0,,,0.2,4,
1996,10,95000,0.05,0,0,0,,,0.2,0,
1996,10,99999,1.5,0,0,0,,,5.7,0,
1996,11,10210,0.9,21,0,0,,,3.7,87,
1996,11,10285,0.5,8,0,0,,,2.1,33,
1996,11,21314,0.15,4,0,0,,,0.6,17,
1996,11,21371,0.2,4,0,0,,,0.8,17,
1996,11,21387,0.2,2,0,0,,,0.8,8,
1996,11,21735,0.5,5,0,0,,,2.1,21,
1996,11,23055,0.1,2,0,0,,,0.4,8,
1996,11,23807,0.1,1,0,0,,,0.4,4,
1996,11,24189,0.1,2,0,0,,,0.4,8,
1996,11,41201,0.1,0,0,0,,,0.4,0,
1996,11,43040,0.1,1,0,0,,,0.4,4,
1996,11,66548,0.1,2,0,0,,,0.4,8,
1996,11,66601,0.1,1,0,0,,,0.4,4,
1996,11,66611,0.3,25,0,0,,,1.2,104,
1996,11,68580,0.2,1,0,0,,,0.8,4,
1996,11,68781,0.9,6,0,0,,,3.7,25,
1996,11,69090,0.1,1,0,0,,,0.4,4,
1996,11,69120,0.3,4,0,0,,,1.2,17,
1996,11,69322,0,0,0,0,,,0.5,2,
1996,11,69322,0,0,0,0,,,3.5,4,
1996,11,71772,0.1,1,0,0,,,0.4,4,
1996,11,71882,0.6,3,0,0,,,2.5,12,
1996,11,71884,0.4,4,0,0,,,1.7,17,
1996,11,80020,0.6,1,0,0,,,2.5,4,
1996,11,80200,2,5,0,0,,,8.3,21,
1996,11,81742,23.7,0,0,0,,,98.6,0,
1996,11,82510,1.8,29,0,0,,,7.5,121,
1996,11,83020,0.2,1,0,0,,,0.8,4,
1996,11,99999,1.7,0,0,0,,,7.1,0,
1996,12,10210,0.8,20,0,0,,,3,74,
1996,12,10285,0.5,9,0,0,,,1.9,33,
1996,12,20040,0.2,9,0,0,,,0.7,33,
1996,12,20061,0.5,1,0,0,,,1.9,4,
1996,12,21314,0.1,5,0,0,,,0.4,19,
1996,12,21371,0.2,5,0,0,,,0.7,19,
1996,12,21387,0.3,3,0,0,,,1.1,11,
1996,12,21735,0.2,3,0,0,,,0.7,11,
1996,12,23807,0.05,1,0,0,,,0.2,4,
1996,12,40500,0.4,3,0,0,,,1.5,11,
1996,12,41201,0.1,3,0,0,,,0.4,11,
1996,12,43020,0.5,5,0,0,,,1.9,19,
1996,12,65201,0.05,1,0,0,,,0.2,4,
1996,12,66548,0.06,9,0,0,,,0.2,33,
1996,12,66611,0.15,18,0,0,,,0.6,67,
1996,12,68580,0.1,2,0,0,,,0.4,7,
1996,12,68781,0.8,4,0,0,,,3,15,
1996,12,69090,0.75,5,0,0,,,2.8,19,
1996,12,69120,1.8,24,0,0,,,6.7,89,
1996,12,69316,0.1,2,0,0,,,0.4,7,
1996,12,69322,0,0,0,0,,,3.2,3,
1996,12,71750,0.1,1,0,0,,,0.4,4,
1996,12,71772,0.35,3,0,0,,,1.3,11,
1996,12,71882,2.2,18,0,0,,,8.2,67,
1996,12,71884,0.3,2,0,0,,,1.1,7,
1996,12,80020,1.2,1,0,0,,,4.5,4,
1996,12,80200,1.1,3,0,0,,,4.1,11,
1996,12,81742,23.9,0,0,0,,,88.7,0,
1996,12,82510,2.6,36,0,0,,,9.7,134,
1996,12,95050,0.05,1,0,0,,,0.2,4,
1996,12,99999,2.5,0,0,0,,,9.3,0,
1996,13,10210,0.07,2,0,0,,,0.6,17,
1996,13,20040,0.05,1,0,0,,,0.4,8,
1996,13,21371,0.1,1,0,0,,,0.8,8,
1996,13,23807,0.05,2,0,0,,,0.4,17,
1996,13,24189,0.15,1,0,0,,,1.2,8,
1996,13,41201,0.05,0,0,0,,,0.4,0,
1996,13,43020,0.05,1,0,0,,,0.4,8,
1996,13,66502,0.05,2,0,0,,,0.4,17,
1996,13,66601,0.05,2,0,0,,,0.4,17,
1996,13,68781,0.4,2,0,0,,,3.3,17,
1996,13,69090,0.25,6,0,0,,,2.1,50,
1996,13,69120,3.2,55,0,0,,,26.4,455,
1996,13,69316,0.1,4,0,0,,,0.8,33,
1996,13,69322,0,0,0,0,,,2,1,
1996,13,69322,0,0,0,0,,,3.6,9,
1996,13,71882,1.7,13,0,0,,,14,107,
1996,13,71884,0.05,1,0,0,,,0.4,8,
1996,13,80020,3.3,2,0,0,,,27.3,17,
1996,13,80200,1.9,5,0,0,,,15.7,41,
1996,13,81742,21.9,0,0,0,,,181,0,
1996,13,82510,0.7,14,0,0,,,5.8,116,
1996,13,83020,0.2,1,0,0,,,1.7,8,
1996,13,91000,0.03,0,0,0,,,0.2,0,
1996,13,95000,0.05,0,0,0,,,0.4,0,
1996,13,99999,3.4,0,0,0,,,28.1,0,
1996,15,10210,0.1,2,0,0,,,1.4,27,
1996,15,21371,0.05,1,0,0,,,0.7,14,
1996,15,21735,2.4,21,0,0,,,32.8,287,
1996,15,23807,0.05,2,0,0,,,0.7,27,
1996,15,41201,0.05,0,0,0,,,0.7,0,
1996,15,43020,0.05,1,0,0,,,0.7,14,
1996,15,43040,0.05,1,0,0,,,0.7,14,
1996,15,56310,0.05,2,0,0,,,0.7,27,
1996,15,65205,0.4,9,0,0,,,5.5,123,
1996,15,66611,0.05,3,0,0,,,0.7,41,
1996,15,68781,1.35,5,0,0,,,18.4,68,
1996,15,69090,0.35,5,0,0,,,4.8,68,
1996,15,69120,1.1,19,0,0,,,15,260,
1996,15,69316,0.01,1,0,0,,,0.1,14,
1996,15,69322,0,0,0,0,,,0.3,1,
1996,15,71753,0.4,4,0,0,,,5.5,55,
1996,15,71772,0.1,1,0,0,,,1.4,14,
1996,15,71882,0.2,1,0,0,,,2.7,14,
1996,15,71884,0.6,2,0,0,,,8.2,27,
1996,15,80020,0.8,1,0,0,,,10.9,14,
1996,15,80200,0.95,2,0,0,,,13,27,
1996,15,81742,16,0,0,0,,,218.6,0,
1996,15,82510,4.4,110,0,0,,,60.1,1503,
1996,15,95000,0.01,0,0,0,,,0.1,0,
1996,15,98000,0.04,1,0,0,,,0.5,14,
1996,15,99999,4.6,0,0,0,,,62.8,0,
1996,16,10210,1.7,39,0,0,,,15.2,348,
1996,16,10220,1.5,1,0,0,,,13.4,9,
1996,16,10285,1.5,19,0,0,,,13.4,169,
1996,16,20040,0.2,5,0,0,,,1.8,45,
1996,16,21314,0.45,11,0,0,,,4,98,
1996,16,21371,1.4,11,0,0,,,12.5,98,
1996,16,21387,0.1,1,0,0,,,0.9,9,
1996,16,21735,2.5,58,0,0,,,22.3,517,
1996,16,23807,0.2,2,0,0,,,1.8,18,
1996,16,24185,0.2,2,0,0,,,1.8,18,
1996,16,40500,0.02,0,0,0,,,0.2,0,
1996,16,41201,0.1,4,0,0,,,0.9,36,
1996,16,43020,2.8,22,0,0,,,25,196,
1996,16,66020,0.01,1,0,0,,,0.1,9,
1996,16,66502,0.05,1,0,0,,,0.4,9,
1996,16,66548,0.05,7,0,0,,,0.4,62,
1996,16,66611,0.1,7,0,0,,,0.9,62,
1996,16,68781,4.2,16,0,0,,,37.5,143,
1996,16,69090,0.3,2,0,0,,,2.7,18,
1996,16,69120,0.9,7,0,0,,,8,62,
1996,16,69322,0,0,0,0,,,4.25,4,
1996,16,71882,0.9,7,0,0,,,8,62,
1996,16,71884,1.1,5,0,0,,,9.8,45,
