Year,Agent,Haul,Spcode,Total_n,Weight_kg
1976,NOAA,21,80000,56,9.979
1976,NOAA,22,10210,1,0.045
1976,NOAA,22,10220,1,0.454
1976,NOAA,22,10285,3,0.227
1976,NOAA,22,20040,3,0.045
1976,NOAA,22,21110,1,0.091
1976,NOAA,22,21313,23,0.499
1976,NOAA,22,21347,1,0.045
1976,NOAA,22,21355,1,0.045
1976,NOAA,22,21375,8,0.907
1976,NOAA,22,21388,2,0.227
1976,NOAA,22,21725,6,0.454
1976,NOAA,22,21735,5,1.361
1976,NOAA,22,22200,1,0.091
1976,NOAA,22,41221,1,0.01
1976,NOAA,22,66601,10,0.045
1976,NOAA,22,66611,80,0.318
1976,NOAA,22,68577,23,0.6
1976,NOAA,22,68580,8,0.499
1976,NOAA,22,69010,46,2.807
1976,NOAA,22,69323,2,0.862
1976,NOAA,22,71756,9,0.59
1976,NOAA,22,71760,2,0.136
1976,NOAA,22,71772,6,0.408
1976,NOAA,22,71882,25,1.633
1976,NOAA,22,74982,1,0.045
1976,NOAA,22,74983,1,0.045
1976,NOAA,22,75284,10,0.136
1976,NOAA,22,80020,9,6.8
1976,NOAA,22,80200,95,28.6
1976,NOAA,22,80540,6,0.1
1976,NOAA,22,80595,37,2.4
1976,NOAA,22,81095,6,0.2
1976,NOAA,22,81355,2,0.3
1976,NOAA,22,81742,37,8.2
1976,NOAA,22,82510,26,1.1
1976,NOAA,22,83020,7,1.588
1976,NOAA,22,98000,1,0.03
1976,NOAA,136,10210,1,0.091
1976,NOAA,136,10220,124,136.531
1976,NOAA,136,20040,7,0.091
1976,NOAA,136,21313,107,2.268
1976,NOAA,136,21355,2,0.045
1976,NOAA,136,21375,115,7.711
1976,NOAA,136,21388,1,0.091
1976,NOAA,136,21725,8,0.136
1976,NOAA,136,21735,915,53.75
1976,NOAA,136,23055,24,0.68
1976,NOAA,136,23807,11,0.136
1976,NOAA,136,24189,2,1.361
1976,NOAA,136,40500,3,2.3
1976,NOAA,136,41221,10,0.2
1976,NOAA,136,43000,20,1.2
1976,NOAA,136,66601,16,0.272
1976,NOAA,136,66611,150,1.497
1976,NOAA,136,68580,14,0.272
1976,NOAA,136,68781,1,0.091
1976,NOAA,136,69010,17,0.385
1976,NOAA,136,69322,26,25.038
1976,NOAA,136,71772,1,0.181
1976,NOAA,136,75284,10,0.136
1976,NOAA,136,80020,42,31.5
1976,NOAA,136,80200,120,35.8
1976,NOAA,136,80540,1,0.005
1976,NOAA,136,80595,24,0.5
1976,NOAA,136,81095,1,0.04
1976,NOAA,136,81742,2453,539.8
1976,NOAA,136,83020,3,0.181
1976,NOAA,136,98000,1,0.1
1976,NOAA,137,10210,2,0.227
1976,NOAA,137,10220,14,17.237
1976,NOAA,137,10285,1,0.454
1976,NOAA,137,21110,6,0.68
1976,NOAA,137,21313,78,3.629
1976,NOAA,137,21355,8,0.136
1976,NOAA,137,21375,9,1.134
1976,NOAA,137,21405,3,0.045
1976,NOAA,137,21725,8,0.227
1976,NOAA,137,21735,670,28.304
1976,NOAA,137,21740,13,0.181
1976,NOAA,137,23055,104,2.812
1976,NOAA,137,23807,3,0.045
1976,NOAA,137,43000,3,0.3
1976,NOAA,137,66611,75,0.816
1976,NOAA,137,68577,2,0.02
1976,NOAA,137,69010,56,1.131
1976,NOAA,137,69322,12,14.061
1976,NOAA,137,71772,1,0.136
1976,NOAA,137,80020,9,10
1976,NOAA,137,80200,106,31.3
1976,NOAA,137,80540,4,0.02
1976,NOAA,137,80595,12,0.2
1976,NOAA,137,81095,1,0.03
1976,NOAA,137,81742,598,131.7
1976,NOAA,137,83020,12,1.179
1976,NOAA,137,98000,6,0.21
1976,NOAA,138,10210,11,0.907
1976,NOAA,138,10220,2,2.268
1976,NOAA,138,10285,9,1.542
1976,NOAA,138,20040,1,0.045
1976,NOAA,138,21313,19,1.361
1976,NOAA,138,21355,1,0.045
1976,NOAA,138,21375,1,0.045
1976,NOAA,138,21725,5,0.136
1976,NOAA,138,21735,239,15.558
1976,NOAA,138,21740,1,0.045
1976,NOAA,138,23055,27,0.544
1976,NOAA,138,23807,6,0.136
1976,NOAA,138,23809,1,0.091
1976,NOAA,138,24185,3,0.454
1976,NOAA,138,43000,4,0.3
1976,NOAA,138,66611,173,1.633
1976,NOAA,138,68580,3,0.136
1976,NOAA,138,69010,21,1.21
1976,NOAA,138,69322,25,16.783
1976,NOAA,138,80020,13,11.8
1976,NOAA,138,80200,32,7.3
1976,NOAA,138,81742,116,25.4
1976,NOAA,138,83020,1,0.1
1976,NOAA,138,98000,2,0.08
1976,NOAA,139,10210,28,1.361
1976,NOAA,139,10220,16,14.969
1976,NOAA,139,10285,13,2.268
1976,NOAA,139,20040,3,0.045
1976,NOAA,139,21313,8,0.227
1976,NOAA,139,21355,2,0.045
1976,NOAA,139,21735,744,31.57
1976,NOAA,139,21740,2,0.045
1976,NOAA,139,22200,1,0.045
1976,NOAA,139,23055,38,1.361
1976,NOAA,139,23807,7,0.227
1976,NOAA,139,23809,1,0.091
1976,NOAA,139,24185,2,0.181
1976,NOAA,139,41221,2,0.04
1976,NOAA,139,66530,1,0.045
1976,NOAA,139,66611,561,3.357
1976,NOAA,139,68577,2,0.04
1976,NOAA,139,68580,26,0.363
1976,NOAA,139,69010,60,3.998
1976,NOAA,139,69322,17,16.601
1976,NOAA,139,71772,1,0.136
1976,NOAA,139,75240,1,0.045
1976,NOAA,139,75284,1,0.045
1976,NOAA,139,80020,7,5.9
1976,NOAA,139,80200,44,13.2
1976,NOAA,139,80595,2,0.04
1976,NOAA,139,81742,144,31.8
1976,NOAA,139,83020,3,0.1
1976,NOAA,139,98000,1,0.3
1976,NOAA,140,10220,5,7.711
1976,NOAA,140,10285,1,0.454
1976,NOAA,140,20040,2,0.045
1976,NOAA,140,21110,2,0.091
1976,NOAA,140,21313,7,0.454
1976,NOAA,140,21375,9,1.588
1976,NOAA,140,21388,2,0.091
1976,NOAA,140,21725,4,0.227
1976,NOAA,140,21735,472,26.309
1976,NOAA,140,21740,7,0.091
1976,NOAA,140,22200,1,0.045
1976,NOAA,140,23055,64,1.814
1976,NOAA,140,23807,4,0.045
1976,NOAA,140,41221,7,0.1
1976,NOAA,140,43000,1,0.02
1976,NOAA,140,66611,110,1.134
1976,NOAA,140,68577,9,0.6
1976,NOAA,140,68580,38,0.045
1976,NOAA,140,69010,161,16.883
1976,NOAA,140,69322,14,17.146
1976,NOAA,140,71884,1,0.045
1976,NOAA,140,80020,11,8.2
1976,NOAA,140,80200,57,17.3
1976,NOAA,140,80595,11,1
1976,NOAA,140,81095,1,0.04
1976,NOAA,140,81742,161,35.4
1976,NOAA,140,83020,5,2.087
1976,NOAA,140,98000,38,2
1976,NOAA,141,10210,3,0.408
1976,NOAA,141,10220,1,0.907
1976,NOAA,141,10285,1,0.454
1976,NOAA,141,20040,4,0.091
1976,NOAA,141,21110,3,0.272
1976,NOAA,141,21313,8,0.227
1976,NOAA,141,21375,2,0.68
1976,NOAA,141,21735,368,12.111
1976,NOAA,141,21740,3,0.091
1976,NOAA,141,22200,1,0.045
1976,NOAA,141,23055,47,1.225
1976,NOAA,141,23807,4,0.091
1976,NOAA,141,24185,1,0.091
1976,NOAA,141,41221,1,0.01
1976,NOAA,141,66611,101,0.998
1976,NOAA,141,68577,3,0.2
1976,NOAA,141,68580,3,0.227
1976,NOAA,141,69010,59,4.997
1976,NOAA,141,69322,5,5.897
1976,NOAA,141,71753,2,0.272
1976,NOAA,141,71882,11,1.225
1976,NOAA,141,71884,16,2.132
1976,NOAA,141,74562,4,0.045
1976,NOAA,141,80020,7,5.9
1976,NOAA,141,80200,24,7.3
1976,NOAA,141,80595,16,1
1976,NOAA,141,81742,80,17.7
1976,NOAA,141,82510,1,0.1
1976,NOAA,141,83020,4,0.544
1976,NOAA,141,98000,1,3.2
1976,NOAA,142,10210,8,0.68
1976,NOAA,142,10211,1,0.045
1976,NOAA,142,10220,21,24.04
1976,NOAA,142,10285,11,1.361
1976,NOAA,142,20040,1,0.045
1976,NOAA,142,21110,4,0.227
1976,NOAA,142,21313,5,0.181
1976,NOAA,142,21355,3,0.091
1976,NOAA,142,21375,2,0.907
1976,NOAA,142,21725,1,0.045
1976,NOAA,142,21735,964,34.927
1976,NOAA,142,23055,7,0.227
1976,NOAA,142,23807,3,0.091
1976,NOAA,142,41221,0.3,15
1976,NOAA,142,66050,1,0.045
1976,NOAA,142,66530,7,0.045
1976,NOAA,142,66611,455,2.722
1976,NOAA,142,68577,2,0.01
1976,NOAA,142,68580,8,0.181
1976,NOAA,142,69010,232,19.987
1976,NOAA,142,69322,2,1.814
1976,NOAA,142,74562,8,0.091
1976,NOAA,142,80020,1,0.8
1976,NOAA,142,80200,24,7.3
1976,NOAA,142,80595,4,0.6
1976,NOAA,142,81742,171,37.7
1976,NOAA,142,82510,3,0.3
1976,NOAA,142,83020,8,1.134
1976,NOAA,142,98000,127,6.6
1976,NOAA,143,10210,14,0.907
1976,NOAA,143,10220,4,2.268
1976,NOAA,143,10285,2,0.408
1976,NOAA,143,20040,6,0.091
1976,NOAA,143,20051,1,0.045
1976,NOAA,143,21110,12,0.68
1976,NOAA,143,21313,53,0.998
1976,NOAA,143,21375,2,0.907
1976,NOAA,143,21405,1,0.045
1976,NOAA,143,21725,2,0.045
1976,NOAA,143,21735,1653,29.03
1976,NOAA,143,21740,5,0.136
1976,NOAA,143,22200,5,0.181
1976,NOAA,143,23055,5,0.091
1976,NOAA,143,23807,3,0.091
1976,NOAA,143,41221,15,0.3
1976,NOAA,143,66611,285,2.948
1976,NOAA,143,68577,5,0.2
1976,NOAA,143,69010,423,30.762
1976,NOAA,143,69322,4,4.536
1976,NOAA,143,71756,19,1.043
1976,NOAA,143,71772,5,0.499
1976,NOAA,143,71882,14,0.907
1976,NOAA,143,71884,36,2.54
1976,NOAA,143,80020,1,0.9
1976,NOAA,143,80200,11,3.2
1976,NOAA,143,80595,3,0.03
1976,NOAA,143,81742,110,24.3
1976,NOAA,143,82510,8,0.6
1976,NOAA,143,83020,14,1.588
1976,NOAA,143,98000,1,4.5
1976,NOAA,144,10210,26,1.542
1976,NOAA,144,10211,1,0.091
1976,NOAA,144,10220,4,4.536
1976,NOAA,144,10285,11,2.087
1976,NOAA,144,20040,13,0.272
1976,NOAA,144,21110,3,0.227
1976,NOAA,144,21313,46,0.68
1976,NOAA,144,21375,1,0.68
1976,NOAA,144,21735,1522,31.071
1976,NOAA,144,21740,10,0.136
1976,NOAA,144,21753,1,0.045
1976,NOAA,144,22200,2,0.091
1976,NOAA,144,23055,25,0.499
1976,NOAA,144,23807,13,0.318
1976,NOAA,144,24189,1,0.091
1976,NOAA,144,40500,1,0.2
1976,NOAA,144,43000,1,0.06
1976,NOAA,144,66530,2,0.045
1976,NOAA,144,66611,294,2.722
1976,NOAA,144,68577,11,0.2
1976,NOAA,144,68580,3,0.091
1976,NOAA,144,69010,94,14.927
1976,NOAA,144,69322,3,3.175
1976,NOAA,144,71772,3,0.181
1976,NOAA,144,71835,1,0.045
1976,NOAA,144,71882,7,0.544
1976,NOAA,144,71884,14,1.134
1976,NOAA,144,80200,11,3.2
1976,NOAA,144,80595,12,0.1
1976,NOAA,144,81742,88,19.3
1976,NOAA,144,82510,1,0.03
1976,NOAA,144,83020,2,0.318
1976,NOAA,144,98000,64,4.8
1976,NOAA,145,10210,114,4.082
1976,NOAA,145,10211,78,4.082
1976,NOAA,145,10220,3,3.175
1976,NOAA,145,10285,11,1.043
1976,NOAA,145,20040,13,0.181
1976,NOAA,145,21313,21,0.272
1976,NOAA,145,21355,1,0.045
1976,NOAA,145,21375,2,1.814
1976,NOAA,145,21388,5,0.68
1976,NOAA,145,21405,1,0.045
1976,NOAA,145,21725,1,0.045
1976,NOAA,145,21735,1604,53.524
1976,NOAA,145,21740,1,0.045
1976,NOAA,145,21932,1,0.045
1976,NOAA,145,22200,3,0.136
1976,NOAA,145,23055,7,0.181
1976,NOAA,145,23807,23,0.227
1976,NOAA,145,23809,14,1.27
1976,NOAA,145,40500,1,0.3
1976,NOAA,145,41221,10,0.2
1976,NOAA,145,66530,1,0.045
1976,NOAA,145,66611,169,1.451
1976,NOAA,145,68577,10,0.2
1976,NOAA,145,68580,1,0.045
1976,NOAA,145,69010,155,11.744
1976,NOAA,145,69322,1,1.134
1976,NOAA,145,71772,9,0.454
1976,NOAA,145,71882,14,1.27
1976,NOAA,145,71884,75,7.802
1976,NOAA,145,80200,4,1.4
1976,NOAA,145,80595,5,0.03
1976,NOAA,145,81742,56,12.3
1976,NOAA,145,82510,2,0.2
1976,NOAA,145,83020,3,0.318
1976,NOAA,145,98000,505,19
1976,NOAA,146,10210,104,7.257
1976,NOAA,146,10211,3,0.136
1976,NOAA,146,10220,1,0.907
1976,NOAA,146,10285,23,3.629
1976,NOAA,146,20040,4,0.091
1976,NOAA,146,20060,1,0.045
1976,NOAA,146,21375,2,0.136
1976,NOAA,146,21388,2,0.227
1976,NOAA,146,21735,382,12.202
1976,NOAA,146,22200,2,0.091
1976,NOAA,146,23055,4,0.091
1976,NOAA,146,23807,6,0.136
1976,NOAA,146,23809,8,0.59
1976,NOAA,146,24185,1,0.136
1976,NOAA,146,40500,10,0.8
1976,NOAA,146,41221,25,0.5
1976,NOAA,146,43000,2,0.01
1976,NOAA,146,66530,12,0.045
1976,NOAA,146,66611,163,1.089
1976,NOAA,146,68577,2,0.02
1976,NOAA,146,69010,64,3.899
1976,NOAA,146,69322,2,1.814
1976,NOAA,146,75284,1,0.045
1976,NOAA,146,80200,1,0.5
1976,NOAA,146,80595,2,0.02
1976,NOAA,146,98000,19,1.7
