Year,Haul,Spcode,subsample_w_kg,subsample_n,wholesample_w_kg,wholesample_n
1999,12,98000,0.36,1,,
1999,12,99994,0.08,6,,
1999,12,99999,0.18,,,
1999,13,10210,0.18,4,,
1999,13,10285,0.38,2,,
1999,13,21314,0.01,1,,
1999,13,21384,0.08,2,,
1999,13,21735,0.08,1,,
1999,13,23055,0.1,5,,
1999,13,23808,0.06,5,,
1999,13,24189,0.32,1,,
1999,13,40500,0.3,7,,
1999,13,65201,0.64,2,,
1999,13,66045,0.01,1,,
1999,13,66530,0.01,1,,
1999,13,66611,0.02,1,,
1999,13,75111,0.04,3,,
1999,13,80020,0.5,1,,
1999,13,81742,30.5,258,,
1999,13,82510,0.16,3,,
1999,13,99999,0.24,,,
1999,14,10210,2.2,78,,
1999,14,10285,1,12,,
1999,14,20001,0.01,1,,
1999,14,20040,0.02,1,,
1999,14,21314,0.08,6,,
1999,14,21315,0.02,1,,
1999,14,21371,0.08,1,,
1999,14,21378,0.16,1,,
1999,14,21384,0.1,3,,
1999,14,21405,0.02,3,,
1999,14,21725,0.08,1,,
1999,14,21735,2.04,30,,
1999,14,23055,0.01,2,,
1999,14,23808,0.1,7,,
1999,14,43000,0.24,8,,
1999,14,56312,0.01,1,,
1999,14,62000,0.01,2,,
1999,14,66045,0.01,8,,
1999,14,66530,0.01,5,,
1999,14,66548,0.02,1,,
1999,14,66601,0.04,2,,
1999,14,66611,0.08,14,,
1999,14,68781,0.6,2,,
1999,14,69035,0.14,1,,
1999,14,69090,0.18,1,,
1999,14,69322,6.24,5,,
1999,14,71001,0.06,,,
1999,14,71772,0.12,1,,
1999,14,71884,0.3,2,,
1999,14,75111,0.08,1,,
1999,14,80020,0.38,1,,
1999,14,81742,37.3,337,,
1999,14,82510,0.28,8,,
1999,14,98000,0.04,1,,
1999,14,99999,0.6,,,
1999,15,10210,0.5,7,,
1999,15,10220,5.6,9,,
1999,15,10285,0.76,2,,
1999,15,20061,0.01,1,,
1999,15,21314,0.08,3,,
1999,15,21371,0.22,3,,
1999,15,21384,0.16,3,,
1999,15,21735,3.3,34,,
1999,15,23808,0.02,5,,
1999,15,40500,0.02,1,,
1999,15,41201,0.01,2,,
1999,15,43000,0.02,1,,
1999,15,66530,0.01,5,,
1999,15,66548,0.02,7,,
1999,15,66601,0.14,6,,
1999,15,66611,0.12,6,,
1999,15,75111,0.18,5,,
1999,15,81742,28.8,257,,
1999,15,82510,0.04,1,,
1999,15,99993,0.12,,,
1999,16,10210,5.1,112,,
1999,16,10220,17.1,57,,
1999,16,10285,0.8,8,,
1999,16,20061,0.01,1,,
1999,16,21314,0.9,15,,
1999,16,21371,0.46,4,,
1999,16,21378,0.32,3,,
1999,16,21384,0.24,4,,
1999,16,21735,1.7,26,,
1999,16,21932,0.25,1,,
1999,16,23055,0.08,8,,
1999,16,23808,0.04,3,,
1999,16,41201,0.01,1,,
1999,16,43000,2.4,4,,
1999,16,60100,0.02,1,,
1999,16,66530,0.01,6,,
1999,16,66548,0.21,31,,
1999,16,66611,0.01,3,,
1999,16,68781,1.3,8,,
1999,16,69010,0.01,1,,
1999,16,71001,0.01,,,
1999,16,71884,0.64,6,,
1999,16,74000,0.32,,,
1999,16,80010,1.7,1,,
1999,16,81742,45.4,390,,
1999,16,82510,0.2,4,,
1999,16,83010,0.03,402,,
1999,16,91000,0.1,1,,
1999,16,95000,0.02,1,,
1999,16,98000,0.2,1,,
1999,16,99999,5.8,,,
1999,17,10210,2.5,23,,
1999,17,10211,0.01,1,,
1999,17,10220,4,18,,
1999,17,10285,1,14,,
1999,17,20040,0.01,1,,
1999,17,21314,0.4,15,,
1999,17,21371,3,6,,
1999,17,21376,0.68,1,,
1999,17,21378,0.08,1,,
1999,17,21384,0.9,8,,
1999,17,21735,5.5,53,,
1999,17,21932,0.8,6,,
1999,17,23055,0.5,10,,
1999,17,23808,0.01,2,,
1999,17,65201,0.12,1,,
1999,17,66530,0.01,1,,
1999,17,66548,0.02,4,,
1999,17,66601,0.01,1,,
1999,17,66611,0.01,1,,
1999,17,68781,7.6,52,,
1999,17,69010,0.05,1,,
1999,17,69061,0.01,1,,
1999,17,71001,0.01,1,,
1999,17,71884,0.2,3,,
1999,17,80010,0.98,3,,
1999,17,81095,0.1,3,,
1999,17,81742,24.6,413,,
1999,17,82510,0.08,1,,
1999,17,98000,0.6,8,,
1999,17,99994,0.3,5,,
1999,18,10140,0.02,1,,
1999,18,10210,1.1,15,,
1999,18,10220,15,11,,
1999,18,10260,1,2,,
1999,18,10285,2.3,13,,
1999,18,21314,0.04,2,,
1999,18,21371,7.6,9,,
1999,18,21376,0.18,1,,
1999,18,21384,0.06,3,,
1999,18,21720,3.2,1,,
1999,18,21735,6.5,55,,
1999,18,23055,0.4,3,,
1999,18,23808,0.03,3,,
1999,18,24189,2,1,,
1999,18,24191,8.2,5,,
1999,18,40500,0.02,1,,
1999,18,66530,0.01,2,,
1999,18,66548,0.01,1,,
1999,18,66611,0.6,64,,
1999,18,68577,0.02,3,,
1999,18,68580,12,428,,
1999,18,68781,0.95,6,,
1999,18,69061,0.22,9,,
1999,18,69322,1.3,1,,
1999,18,80010,3,6,,
1999,18,80020,5.6,25,,
1999,18,81095,0.01,1,,
1999,18,81742,7.6,120,,
1999,18,82510,0.08,2,,
1999,18,98000,2,6,,
1999,18,98082,0.1,3,,
1999,18,99999,0.1,,,
1999,19,10210,2.6,67,,
1999,19,10211,0.02,1,,
1999,19,10220,0.53,5,,
1999,19,10260,0.05,1,,
1999,19,10285,3.2,26,,
1999,19,20040,0.04,4,,
1999,19,21315,0.3,8,,
1999,19,21368,1.3,3,,
1999,19,21371,3.9,3,,
1999,19,21378,0.36,1,,
1999,19,21384,0.2,2,,
1999,19,21720,5.6,1,,
1999,19,21725,0.08,3,,
1999,19,21735,6.1,77,,
1999,19,23055,0.14,26,,
1999,19,23808,0.1,10,,
1999,19,24191,0.5,2,,
1999,19,40500,1.9,5,,
1999,19,41201,0.06,7,,
1999,19,66530,0.01,5,,
1999,19,66548,0.01,6,,
1999,19,66601,0.16,6,,
1999,19,66611,2.3,327,,
1999,19,68577,1.3,27,,
1999,19,68580,5.8,271,,
1999,19,69010,0.2,3,,
1999,19,69061,0.06,10,,
1999,19,69322,0.92,1,,
1999,19,71001,0.01,7,,
1999,19,71010,0.02,3,,
1999,19,74983,0.02,1,,
1999,19,75330,0.02,1,,
1999,19,80010,10,26,,
1999,19,80020,10,51,,
1999,19,80590,1.5,6,,
1999,19,80594,0.35,16,,
1999,19,81095,0.28,11,,
1999,19,81742,51.7,660,,
1999,19,82510,0.36,6,,
1999,19,83010,1.1,9,,
1999,19,83400,0.03,12,,
1999,19,98000,0.5,2,,
1999,19,98082,0.8,6,,
1999,19,99993,0.7,,,
1999,19,99994,0.3,,,
1999,19,99999,1.2,,,
1999,20,10140,0.2,9,,
1999,20,10210,7.1,161,,
1999,20,10211,0.06,1,,
1999,20,10220,3.6,4,,
1999,20,10260,3,6,,
1999,20,10285,3.3,18,,
1999,20,20040,0.02,3,,
1999,20,21315,0.6,28,,
1999,20,21370,0.2,2,,
1999,20,21371,4.5,3,,
1999,20,21378,0.46,2,,
1999,20,21384,0.01,1,,
1999,20,21725,0.25,12,,
1999,20,21735,2.1,18,,
1999,20,22200,0.2,2,,
1999,20,23055,0.12,2,,
1999,20,23808,0.01,1,,
1999,20,24191,0.02,1,,
1999,20,40500,4.3,6,,
1999,20,41201,0.05,5,,
1999,20,43000,0.01,1,,
1999,20,66045,0.01,2,,
1999,20,66203,0.01,1,,
1999,20,66530,0.01,2,,
1999,20,66548,0.02,3,,
1999,20,66611,1.2,170,,
1999,20,68577,0.9,12,,
1999,20,68580,1.3,40,,
