# ADFG_Crab_2008.csv,,,,,,,,,,,,,
# 2008 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
"#  Female J: Juvenile (no eggs and belly flap not extended fully to coxa), M Mature (with eggs or belly flap extended fully to coxa)",,,,,,,,,,,,,
"# Male:  9: < 76 (pre3), 7: 76-89 (pre2), 5: 90-104 (pre1), 1: 105-115 (recruits), 3: > 115 (post recruits)",,,,,,,,,,,,,
#,,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
2008,38,159,1,77,1,2,,,,,,,7
2008,38,159,1,96,1,3,,,,,,,5
2008,38,159,1,89,1,2,,,,,,,7
2008,38,159,1,84,1,2,,,,,,,7
2008,38,159,1,99,1,2,,,,,,,5
2008,38,159,1,90,1,2,,,,,,,5
2008,38,159,1,88,1,2,,,,,,,7
2008,38,159,1,87,1,3,,,,,,,7
2008,38,159,1,95,1,2,,,,,,,5
2008,38,159,1,106,2,3,,,,,,,1
2008,38,159,1,101,1,2,,,,,,,5
2008,38,159,1,84,1,2,,,,,,,7
2008,38,159,1,79,1,2,,,,,,,7
2008,38,159,1,69,1,2,,,,,,,9
2008,38,159,1,89,1,2,,,,,,,7
2008,38,159,1,71,1,2,,,,,,,9
2008,38,159,1,62,1,2,,,,,,,9
2008,38,159,1,53,1,2,,,,,,,9
2008,39,158,2,78,,2,,5,1,1,2,,M
2008,39,158,2,80,,2,,5,1,1,2,,M
2008,39,158,2,88,,2,,4,1,2,2,,M
2008,39,158,2,76,,2,,5,1,1,2,,M
2008,39,158,2,85,,2,,5,1,1,3,,M
2008,39,158,2,87,,2,,4,1,1,3,,M
2008,39,158,2,95,,2,,4,1,1,3,,M
2008,39,158,2,86,,2,,3,1,1,3,,M
2008,39,158,2,79,,2,,4,1,1,3,,M
2008,39,158,2,90,,2,,4,1,2,3,,M
2008,39,158,2,83,,2,,4,1,1,2,,M
2008,39,158,2,71,,2,,3,1,2,2,,M
2008,39,158,2,86,,2,,6,1,1,2,,M
2008,39,158,2,82,,2,,5,1,2,2,,M
2008,39,158,2,78,,2,,4,1,1,2,,M
2008,39,158,2,72,,2,,3,1,2,2,,M
2008,39,158,1,119,2,4,,,,,,,3
2008,40,131,2,93,,2,,4,1,1,1,,M
2008,40,131,2,66,,2,,,,,,,J
2008,43,182,1,58,1,2,,,,,,,9
2008,44,132,1,120,2,3,,,,,,,3
2008,44,132,1,87,1,2,,,,,,,7
2008,44,132,1,95,1,2,,,,,,,5
2008,48,81,1,111,2,3,,,,,,,1
2008,49,80,1,109,2,3,,,,,,,1
2008,49,80,1,124,2,2,,,,,,,3
2008,49,80,1,106,2,3,,,,,,,1
2008,49,80,1,86,1,2,,,,,,,7
2008,49,80,1,63,1,2,,,,,,,9
2008,49,80,2,66,,2,,,,,,,J
2008,50,79,1,113,2,2,,,,,,,1
2008,50,79,1,75,1,2,,,,,,,9
2008,50,79,1,77,1,2,,,,,,,7
2008,50,79,1,64,1,2,,,,,,,9
2008,50,79,1,71,1,2,,,,,,,9
2008,50,79,1,73,1,2,,,,,,,9
2008,50,79,2,67,,2,,,,,,,J
2008,50,79,2,82,,2,,4,1,1,2,,M
2008,50,79,2,66,,2,,,,,,,J
2008,51,78,2,72,,2,,3,1,1,2,,M
2008,52,103,1,140,2,4,,,,,,,3
2008,52,103,1,83,1,2,,,,,,,7
2008,52,103,2,71,,2,,,,,,,J
2008,54,185,1,93,1,3,,,,,,,5
2008,54,185,1,86,1,2,,,,,,,7
2008,54,185,1,87,1,2,,,,,,,7
2008,54,185,1,86,1,3,,,,,,,7
2008,54,185,1,86,1,2,,,,,,,7
2008,54,185,1,105,1,2,,,,,,,1
2008,54,185,1,116,2,2,,,,,,,3
2008,54,185,1,104,2,4,,,,,,,5
2008,54,185,1,99,2,2,,,,,,,5
2008,54,185,1,83,1,2,,,,,,,7
2008,54,185,1,105,1,2,,,,,,,1
2008,54,185,1,105,2,2,,,,,,,1
2008,54,185,1,67,1,2,,,,,,,9
2008,54,185,1,50,1,2,,,,,,,9
2008,54,185,2,26,,2,,,,,,,J
2008,54,185,1,26,1,2,,,,,,,9
2008,55,184,1,92,1,2,,,,,,,5
2008,55,184,1,89,1,2,,,,,,,7
2008,55,184,1,86,1,2,,,,,,,7
2008,55,184,1,97,1,2,,,,,,,5
2008,55,184,1,101,1,2,,,,,,,5
2008,55,184,1,94,1,2,,,,,,,5
2008,55,184,1,90,1,2,,,,,,,5
2008,55,184,1,99,1,2,,,,,,,5
2008,55,184,1,81,1,3,,,,,,,7
2008,55,184,1,103,2,3,,,,,,,5
2008,55,184,1,100,1,3,,,,,,,5
2008,55,184,1,85,1,3,,,,,,,7
2008,55,184,1,88,1,2,,,,,,,7
2008,55,184,1,106,2,2,,,,,,,1
2008,55,184,1,100,1,3,,,,,,,5
2008,55,184,1,91,1,3,,,,,,,5
2008,55,184,1,80,1,3,,,,,,,7
2008,55,184,1,88,1,2,,,,,,,7
2008,55,184,1,96,1,3,,,,,,,5
2008,55,184,1,101,1,2,,,,,,,5
2008,55,184,1,110,2,3,,,,,,,1
2008,55,184,1,101,2,3,,,,,,,5
2008,55,184,1,102,1,2,,,,,,,5
2008,55,184,1,89,1,2,,,,,,,7
2008,55,184,1,96,1,3,,,,,,,5
2008,55,184,1,86,1,2,,,,,,,7
2008,55,184,1,80,1,2,,,,,,,7
2008,55,184,1,90,1,3,,,,,,,5
2008,55,184,1,100,1,3,,,,,,,5
2008,55,184,1,73,1,2,,,,,,,9
2008,55,184,1,87,1,2,,,,,,,7
2008,55,184,1,87,1,2,,,,,,,7
2008,55,184,1,89,1,2,,,,,,,7
2008,55,184,1,104,2,2,,,,,,,5
2008,55,184,1,91,1,2,,,,,,,5
2008,55,184,1,60,1,2,,,,,,,9
2008,55,184,1,83,1,2,,,,,,,7
2008,55,184,1,124,2,4,,,,,,,3
2008,55,184,1,81,1,2,,,,,,,7
2008,55,184,1,96,1,2,,,,,,,5
2008,55,184,1,113,2,2,,,,,,,1
2008,55,184,1,98,1,2,,,,,,,5
2008,55,184,1,95,1,3,,,,,,,5
2008,55,184,1,133,2,3,,,,,,,3
2008,55,184,1,109,2,2,,,,,,,1
2008,55,184,1,112,2,4,,,,,,,1
2008,55,184,1,102,2,2,,,,,,,5
2008,55,184,1,108,2,2,,,,,,,1
2008,55,184,1,114,2,2,,,,,,,1
2008,55,184,1,106,2,2,,,,,,,1
2008,55,184,2,91,,2,,5,1,1,2,,M
2008,55,184,2,31,,2,,,,,,,J
2008,56,184,1,83,1,2,,,,,,,7
2008,56,184,1,107,2,2,,,,,,,1
2008,56,184,1,105,2,3,,,,,,,1
2008,56,184,1,102,2,2,,,,,,,5
2008,56,184,1,87,1,3,,,,,,,7
2008,56,184,1,127,2,3,,,,,,,3
2008,56,184,1,107,2,2,,,,,,,1
2008,56,184,1,77,1,2,,,,,,,7
2008,56,184,1,104,2,2,,,,,,,5
2008,56,184,1,91,1,2,,,,,,,5
2008,56,184,1,88,1,2,,,,,,,7
2008,56,184,1,81,1,1,,,,,,,7
2008,56,184,1,96,1,2,,,,,,,5
2008,56,184,1,88,1,2,,,,,,,7
2008,56,184,1,109,2,2,,,,,,,1
2008,56,184,1,90,1,2,,,,,,,5
2008,56,184,1,95,1,2,,,,,,,5
2008,56,184,1,82,1,2,,,,,,,7
2008,56,184,1,90,1,2,,,,,,,5
2008,56,184,1,82,1,2,,,,,,,7
2008,56,184,1,101,1,2,,,,,,,5
2008,56,184,1,78,1,2,,,,,,,7
2008,56,184,1,79,1,2,,,,,,,7
2008,56,184,1,112,2,4,,,,,,,1
2008,56,184,1,111,2,2,,,,,,,1
2008,56,184,1,89,1,2,,,,,,,7
2008,56,184,1,85,1,2,,,,,,,7
2008,56,184,2,30,,2,,,,,,,J
2008,56,184,1,108,2,3,,,,,,,1
2008,56,184,1,91,1,2,,,,,,,5
2008,56,184,1,72,1,2,,,,,,,9
2008,56,184,1,78,1,1,,,,,,,7
2008,56,184,1,91,1,2,,,,,,,5
2008,56,184,1,102,1,3,,,,,,,5
2008,56,184,1,104,2,2,,,,,,,5
2008,56,184,1,91,1,3,,,,,,,5
2008,56,184,1,92,1,2,,,,,,,5
2008,56,184,1,100,1,2,,,,,,,5
2008,56,184,1,101,2,2,,,,,,,5
2008,56,184,1,79,1,2,,,,,,,7
2008,56,184,1,93,1,3,,,,,,,5
2008,56,184,1,66,1,2,,,,,,,9
