# ADFG_Crab_1999.csv,,,,,,,,,,,,,
# 1999 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
1999,32,182,1,102,2,2,,,,,,,
1999,32,182,1,97,1,2,,,,,,,
1999,32,182,1,104,2,2,,,,,,,
1999,32,182,1,107,2,2,,,,,,,
1999,32,182,1,67,1,2,,,,,,,
1999,32,182,2,85,1,2,,5,1,1,2,,M
1999,32,182,2,46,1,2,,1,,,,,J
1999,32,182,2,38,1,2,,1,,,,,J
1999,33,156,1,102,1,2,,,,,,,
1999,33,156,1,100,2,3,,,,,,,
1999,33,156,2,72,1,2,,5,1,1,2,,M
1999,33,156,1,95,1,2,,,,,,,
1999,33,156,2,90,1,2,,5,1,1,2,,M
1999,33,156,1,99,2,2,,,,,,,
1999,33,156,1,100,1,2,,,,,,,
1999,33,156,2,73,1,2,,5,1,1,2,,M
1999,34,155,1,138,2,2,,,,,,,
1999,34,155,1,98,2,2,,,,,,,
1999,34,155,1,117,2,2,,,,,,,
1999,34,155,1,128,2,2,,,,,,,
1999,35,181,1,49,1,2,,,,,,,
1999,35,181,2,80,1,2,,5,1,1,2,,M
1999,35,181,2,79,1,2,,5,1,1,2,,M
1999,35,181,2,92,1,2,,5,1,1,2,,M
1999,35,181,2,43,1,2,,1,,,,,J
1999,36,203,1,50,1,2,,,,,,,
1999,36,203,2,55,1,2,,1,,,,,J
1999,38,180,1,34,1,1,,,,,,,
1999,38,180,1,38,1,1,,,,,,,
1999,38,180,1,,1,1,,,,,,,
1999,38,180,1,,1,1,,,,,,,
1999,38,180,2,,1,1,,1,,,,,J
1999,38,180,1,37,1,2,,,,,,,
1999,38,180,1,32,1,2,,,,,,,
1999,38,180,2,18,1,2,,1,,,,,J
1999,38,180,2,34,1,2,,1,,,,,J
1999,38,180,2,35,1,1,,1,,,,,J
1999,38,180,2,36,1,2,,1,,,,,J
1999,38,180,1,35,1,1,,,,,,,
1999,38,180,2,36,1,2,,1,,,,,J
1999,38,180,2,37,1,1,,1,,,,,J
1999,38,180,2,33,1,1,,1,,,,,J
1999,38,180,2,35,1,1,,1,,,,,J
1999,38,180,2,30,1,2,,1,,,,,J
1999,38,180,2,35,1,2,,1,,,,,J
1999,38,180,2,34,1,2,,1,,,,,J
1999,38,180,1,33,1,2,,,,,,,
1999,38,180,2,35,1,1,,1,,,,,J
1999,38,180,2,33,1,2,,1,,,,,J
1999,38,180,2,34,1,1,,1,,,,,J
1999,38,180,2,38,1,2,,1,,,,,J
1999,38,180,2,30,1,2,,1,,,,,J
1999,38,180,1,33,1,2,,,,,,,
1999,38,180,2,41,1,2,,1,,,,,J
1999,38,180,2,42,1,2,,1,,,,,J
1999,38,180,1,27,1,2,,,,,,,
1999,38,180,1,27,1,2,,,,,,,
1999,38,180,2,26,1,2,,1,,,,,J
1999,38,180,2,36,1,2,,1,,,,,J
1999,38,180,1,34,1,2,,,,,,,
1999,38,180,1,30,1,2,,,,,,,
1999,38,180,1,33,1,2,,,,,,,
1999,38,180,1,23,1,2,,,,,,,
1999,38,180,1,22,1,2,,,,,,,
1999,38,180,1,,1,2,,,,,,,
1999,38,180,2,40,1,2,,1,,,,,J
