Year,Vessel,Haul,Lattitude,Longitude
1988,21,110,62.67183,-173.9375
1988,21,111,62.66667,-172.445
1988,21,112,62.338,-173.12633
1988,21,116,61.65533,-173.096
1988,21,117,61.99,-172.3825
1988,21,118,62.321,-171.71083
1988,21,119,61.9845,-170.97033
1988,21,120,61.67167,-171.541
1988,21,121,61.31817,-172.19783
1988,21,122,61.32283,-170.8195
1988,21,123,60.98583,-170.02367
1988,21,124,61.65533,-168.82867
1988,21,125,61.32417,-168.15583
1988,21,126,60.65417,-169.38117
1988,21,127,60.65817,-170.71967
1991,37,71,60.6485,-166.6455
1991,37,72,60.98017,-167.29983
1991,37,102,60.663,-169.436
1991,37,103,60.98633,-170.09033
1991,37,104,60.67417,-170.74
1991,37,153,61.32383,-172.1935
1991,37,154,61.98733,-172.34717
1991,37,155,62.65383,-172.41967
1991,37,156,63.31917,-172.60083
1991,37,157,63.004,-173.21533
1991,78,93,60.67467,-168.01433
1991,78,94,60.994,-168.6895
1991,78,154,61.63683,-173.072
1991,78,155,62.35033,-173.16883
1991,78,156,62.653,-174.0005
1991,78,157,62.3505,-174.51583
1991,78,193,61.34517,-170.778
1991,78,194,61.66517,-171.49667
1991,78,195,61.97517,-171.06183
1991,78,196,62.3265,-171.66883
1991,78,197,62.6545,-171.35817
1991,78,198,63.05367,-171.7665
1991,78,199,62.9535,-170.33683
1991,78,200,62.63317,-169.824
1991,78,201,62.33683,-170.26
1991,78,202,61.99867,-169.74183
1991,78,203,61.69017,-170.1
1991,78,204,61.38717,-169.52383
1991,78,205,61.38617,-168.23317
1991,78,206,61.66083,-168.7765
1991,78,207,61.98333,-168.217
1991,78,208,62.36683,-168.794
1991,78,209,62.68983,-168.29583
1991,78,210,62.96483,-168.809
1991,78,211,63.38767,-166.48317
1991,78,212,63.5055,-166.42883
1991,78,213,63.63,-166.48283
1991,78,214,63.83067,-166.489
1991,78,215,63.999,-166.47083
1991,78,216,64.15167,-166.50133
1991,78,217,64.19733,-166.7995
1991,78,218,64.337,-166.82183
1991,78,219,64.4015,-167.24517
1991,78,220,64.4985,-166.916
1991,78,222,64.31867,-166.50883
1991,78,223,64.3345,-166.17317
1991,78,224,64.15433,-166.12767
1991,78,225,64.01867,-166.11667
1991,78,226,63.82633,-166.086
1991,78,227,63.645,-166.07017
1991,78,228,63.46683,-166.07917
1991,78,229,63.35167,-166.0505
1991,78,230,63.364,-165.76083
1991,78,231,63.5085,-165.70483
1991,78,232,63.68533,-165.70517
1991,78,233,63.83817,-165.71333
1991,78,234,64.0235,-165.70233
1991,78,235,64.16467,-165.696
1991,78,236,64.327,-165.6415
1991,78,237,64.49567,-165.55267
1991,78,238,64.33533,-165.37433
1991,78,239,64.1735,-165.371
1991,78,240,63.97617,-165.33433
1991,78,241,63.82767,-165.29867
1991,78,242,63.64967,-165.22633
1991,78,243,63.50633,-165.302
1991,78,244,63.6525,-164.9695
1991,78,245,63.83567,-164.953
1991,78,246,63.98533,-164.9545
1991,78,247,64.171,-164.9215
1991,78,248,64.3125,-164.88433
1991,78,249,64.40117,-164.62017
1991,78,250,64.49967,-164.21217
1991,78,252,64.17433,-164.5495
1991,78,253,64.16217,-164.19467
1991,78,254,64.17683,-163.83717
1991,78,255,64.32967,-163.84933
1991,78,256,64.17133,-163.48467
1991,78,257,64.168,-163.16
1991,78,258,64.06817,-163.15017
1991,78,259,63.9985,-163.43833
1991,78,260,63.99317,-163.77983
1991,78,261,63.98817,-164.26783
1991,78,262,63.95733,-164.54033
1991,78,263,63.84133,-164.6425
2010,89,1,60.655,-168.6925
2010,89,2,60.98295,-168.73173
2010,89,3,61.31817,-168.76693
2010,89,4,61.65305,-168.80163
2010,89,5,61.98697,-168.84008
2010,89,6,62.31892,-168.87245
