spcode,_NAME_,_1976,_1979,_1982,_1985,_1988,_1991,_1996,_1999,_2002,_2006,_2008,_2010,_2011,_2014
43000,CPUEIND,11.074636354,10.454010536,13.716575479,18.369455648,15.617050324,13.852084826,33.417218027,11.325793266,19.830809434,21.711121928,17.259603157,34.671143362,22.751937742,24.829326076
68577,CPUEIND,0.2449267303,0.3004233095,1.0333892609,2.0811417048,3.2979592469,6.4028384324,2.8210773133,3.3731151867,3.2809707714,8.0524789214,1.8199008129,2.3053219942,8.5373094097,3.6861108056
68580,CPUEIND,1.3781407981,2.3870987458,3.8779773043,31.494402842,12.251232226,6.4522283453,6.824546855,18.809199797,4.8532209848,5.0050101705,3.5295887393,8.9043405133,9.835361864,16.501436474
68781,CPUEIND,16.311256638,43.493063665,86.8941264,50.953309585,65.041789548,77.274867386,85.906319408,72.017457988,68.161500519,103.19013973,66.62587679,31.940750894,92.914351496,85.73196212
69010,CPUEIND,35.312323805,15.871125889,7.819752193,110.34637829,95.451750914,29.230041952,90.073684806,7.398324376,92.447303449,25.090854864,30.659774117,55.872919115,31.104050922,40.724994314
69322,CPUEIND,81.182221236,17.941743326,64.061186314,90.431128842,48.590795705,88.986602267,50.324618771,265.85673413,53.490349598,74.13571817,215.6479981,67.316129657,93.244000263,75.738070977
71882,CPUEIND,3.965415152,1.3813262604,2.7773921337,4.7490188082,6.2039206835,1.8369632729,29.40969159,1.721096591,8.7438991153,4.2348395361,12.146019592,21.115212205,9.6798964181,8.8269963499
71884,CPUEIND,10.770560946,10.240766061,20.993886552,24.964335499,39.457658917,21.80961179,63.638023125,11.303606946,49.609860753,15.948211241,44.622354098,235.03642665,36.247075503,47.881575661
75284,CPUEIND,2.0639927853,2.1539201783,0.0317348854,2.9365740211,2.7197170861,2.9825128989,3.3102186116,,7.5170037358,9.3355745782,2.5555913266,0.02,4.8611809804,3.2394893267
80020,CPUEIND,78.391225317,80.660667792,185.37855831,282.17032973,66.405913859,112.50186674,246.67772337,200.03785233,300.32430989,254.97897244,381.54457474,253.43808195,276.63536459,267.14535073
80200,CPUEIND,121.63781833,103.81448648,183.15935082,325.52028463,272.61857878,150.9003048,386.87182216,164.95344299,509.88880352,324.41190565,433.43775428,269.9344914,420.26945296,341.39256051
80595,CPUEIND,1.2406670478,1.1195319454,3.5215465708,10.861231174,15.25606962,20.749703517,8.0643318706,3.4271426026,10.513513256,10.490345632,19.561985565,4.5814301385,10.829045782,30.180074996
81095,CPUEIND,0.3370243704,0.50286618,0.9983009751,3.5265065491,3.8295734437,,1.9443392097,0.7809448652,4.2143180941,1.294098784,4.0509507953,1.1265461349,2.0711098597,2.6542373227
81742,CPUEIND,1056.6910539,1471.7897294,2313.9065195,3209.1309688,3091.8190212,1782.2211626,3786.4050415,3171.7607076,5229.3984146,4698.3594877,3611.7910352,3096.9771459,3384.3502638,5288.4903407
82510,CPUEIND,5.7874667278,5.1592217872,17.913024414,34.702985549,77.185146421,29.121227446,63.918138964,14.577568743,102.98453856,40.100586278,56.167950391,,36.476630482,35.039486182
83020,CPUEIND,2.4581630775,3.4226666763,13.164799711,37.921157523,27.851019379,42.369621912,49.073384046,34.318411761,72.318389367,14.097242602,15.810853482,,4.9448202731,28.92088775
98000,CPUEIND,3.5752171796,4.542378311,13.712809271,28.575462056,19.987856721,1.8659297513,9.1683319297,18.243515541,6.2467731225,19.386994986,25.751390282,10.685769684,11.570020958,46.351459805
