# NMFS_1976_1991_Catch.csv,,,,
# Derived from NOAA Kodiak ,,,,
"# Expaned whole weight and count by year, Haul, and Species code ",,,,
#,,,,
#,,,,
#,,,,
Year,Haul,Spcode,Total_n,Weight_kg
1976,22,21735,5,1.361
1976,22,22200,1,0.091
1976,22,41201,1,0.01
1976,22,66601,10,0.045
1976,22,66611,80,0.318
1976,22,68577,23,0.6
1976,22,68580,8,0.499
1976,22,69061,2,0.053
1976,22,69086,40,2.657
1976,22,69120,4,0.097
1976,22,69323,2,0.862
1976,22,71756,9,0.59
1976,22,71760,2,0.136
1976,22,71772,6,0.408
1976,22,71882,25,1.633
1976,22,74982,1,0.045
1976,22,74983,1,0.045
1976,22,75285,10,0.136
1976,22,80020,9,6.8
1976,22,80200,95,28.6
1976,22,80540,6,0.1
1976,22,80590,26,2.3
1976,22,80595,11,0.1
1976,22,81095,6,0.2
1976,22,81355,2,0.3
1976,22,81742,37,8.2
1976,22,82510,26,1.1
1976,22,83020,7,1.588
1976,22,98000,1,0.03
1976,22,99990,,2.903
1976,136,10210,1,0.091
1976,136,10220,124,136.531
1976,136,20040,7,0.091
1976,136,21315,107,2.268
1976,136,21355,2,0.045
1976,136,21368,112,4.082
1976,136,21371,3,3.629
1976,136,21388,1,0.091
1976,136,21725,8,0.136
1976,136,21735,915,53.75
1976,136,23055,24,0.68
1976,136,23807,11,0.136
1976,136,24189,2,1.361
1976,136,40500,3,2.3
1976,136,41201,10,0.2
1976,136,43000,20,1.2
1976,136,66601,16,0.272
1976,136,66611,150,1.497
1976,136,68580,14,0.272
1976,136,68781,1,0.091
1976,136,69061,13,0.24
1976,136,69086,2,0.097
1976,136,69120,2,0.048
1976,136,69322,26,25.038
1976,136,71772,1,0.181
1976,136,75285,10,0.136
1976,136,80020,42,31.5
1976,136,80200,120,35.8
1976,136,80540,1,0.005
1976,136,80595,24,0.5
1976,136,81095,1,0.04
1976,136,81742,2453,539.8
1976,136,83020,3,0.181
1976,136,98105,1,0.1
1976,136,99990,,1.814
1976,137,10210,2,0.227
1976,137,10220,14,17.237
1976,137,10285,1,0.454
1976,137,21110,6,0.68
1976,137,21315,78,3.629
1976,137,21355,8,0.136
1976,137,21368,9,1.134
1976,137,21405,3,0.045
1976,137,21725,8,0.227
1976,137,21735,670,28.304
1976,137,21740,13,0.181
1976,137,23055,104,2.812
1976,137,23807,3,0.045
1976,137,43000,3,0.3
1976,137,66611,75,0.816
1976,137,68577,2,0.02
1976,137,69061,37,0.6
1976,137,69086,12,0.386
1976,137,69120,7,0.145
1976,137,69322,12,14.061
1976,137,71772,1,0.136
1976,137,80020,9,10
1976,137,80200,106,31.3
1976,137,80540,4,0.02
1976,137,80595,12,0.2
1976,137,81095,1,0.03
1976,137,81742,598,131.7
1976,137,83020,12,1.179
1976,137,98000,1,0.01
1976,137,98082,4,0.1
1976,137,98105,1,0.1
1976,137,99990,,1.225
1976,138,10210,11,0.907
1976,138,10220,2,2.268
1976,138,10285,9,1.542
1976,138,20040,1,0.045
1976,138,21315,19,1.361
1976,138,21355,1,0.045
1976,138,21368,1,0.045
1976,138,21725,5,0.136
1976,138,21735,239,15.558
1976,138,21740,1,0.045
1976,138,23055,27,0.544
1976,138,23807,6,0.136
1976,138,23809,1,0.091
1976,138,24185,3,0.454
1976,138,43000,4,0.3
1976,138,66611,173,1.633
1976,138,68580,3,0.136
1976,138,69061,11,0.195
1976,138,69090,1,0.242
1976,138,69120,9,0.773
1976,138,69322,25,16.783
1976,138,80020,13,11.8
1976,138,80200,32,7.3
1976,138,81742,116,25.4
