# 2006 Trawl survey length weight data ,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2006,87,,Walleye pollock,21740,673,,,,,
2006,87,,Walleye pollock,21740,668,,,,,
2006,87,,Walleye pollock,21740,652,,,,,
2006,87,,Walleye pollock,21740,705,,,,,
2006,87,,Walleye pollock,21740,651,,,,,
2006,87,,Walleye pollock,21740,604,,,,,
2006,87,,Walleye pollock,21740,679,,,,,
2006,87,,Walleye pollock,21740,619,,,,,
2006,87,,Walleye pollock,21740,658,,,,,
2006,87,,Walleye pollock,21740,695,,,,,
2006,87,,Walleye pollock,21740,641,,,,,
2006,87,,Walleye pollock,21740,633,,,,,
2006,87,,Walleye pollock,21740,699,,,,,
2006,87,,Walleye pollock,21740,720,,,,,
2006,87,,Walleye pollock,21740,588,,,,,
2006,87,,Yellowfin sole,10210,400,,,,,
2006,87,,Yellowfin sole,10210,451,,,,,
2006,87,,Yellowfin sole,10210,410,,,,,
2006,87,,Yellowfin sole,10210,353,,,,,
2006,87,,Yellowfin sole,10210,195,,,,,
2006,87,,Yellowfin sole,10210,448,,,,,
2006,87,,Yellowfin sole,10210,390,,,,,
2006,87,,Yellowfin sole,10210,512,,,,,
2006,87,,Yellowfin sole,10210,413,,,,,
2006,87,,Yellowfin sole,10210,425,,,,,
2006,87,,Yellowfin sole,10210,392,,,,,
2006,87,,Yellowfin sole,10210,388,,,,,
2006,87,,Yellowfin sole,10210,402,,,,,
2006,87,,Yellowfin sole,10210,421,,,,,
2006,87,,Yellowfin sole,10210,397,,,,,
2006,87,,Yellowfin sole,10210,362,,,,,
2006,87,,Yellowfin sole,10210,398,,,,,
2006,87,,Yellowfin sole,10210,367,,,,,
2006,87,,Yellowfin sole,10210,358,,,,,
2006,87,,Yellowfin sole,10210,395,,,,,
2006,88,,Walleye pollock,21740,628,,,,,
2006,88,,Walleye pollock,21740,651,,,,,
2006,88,,Walleye pollock,21740,678,,,,,
2006,88,,Walleye pollock,21740,690,,,,,
2006,88,,Walleye pollock,21740,652,,,,,
2006,88,,Walleye pollock,21740,622,,,,,
2006,88,,Walleye pollock,21740,630,,,,,
2006,88,,Walleye pollock,21740,776,,,,,
2006,88,,Walleye pollock,21740,702,,,,,
2006,88,,Walleye pollock,21740,754,,,,,
2006,88,,Walleye pollock,21740,682,,,,,
2006,88,,Walleye pollock,21740,764,,,,,
2006,88,,Walleye pollock,21740,655,,,,,
2006,88,,Walleye pollock,21740,725,,,,,
2006,88,,Walleye pollock,21740,753,,,,,
2006,88,,Walleye pollock,21740,634,,,,,
2006,88,,Walleye pollock,21740,661,,,,,
2006,88,,Walleye pollock,21740,753,,,,,
2006,88,,Walleye pollock,21740,564,,,,,
2006,89,,Walleye pollock,21740,668,,,,,
2006,89,,Walleye pollock,21740,703,,,,,
2006,89,,Walleye pollock,21740,689,,,,,
2006,89,,Pacific cod,21720,710,,,,,
2006,89,,Pacific cod,21720,648,,,,,
2006,89,,Pacific cod,21720,330,,,,,
2006,90,,Pacific cod,21720,822,,,,,
2006,90,,Pacific cod,21720,708,,,,,
2006,90,,Pacific cod,21720,607,,,,,
2006,90,,Pacific cod,21720,491,,,,,
2006,90,,Walleye pollock,21740,663,,,,,
2006,90,,Walleye pollock,21740,719,,,,,
2006,90,,Walleye pollock,21740,628,,,,,
2006,90,,Walleye pollock,21740,693,,,,,
2006,90,,Walleye pollock,21740,692,,,,,
2006,90,,Walleye pollock,21740,603,,,,,
2006,90,,Walleye pollock,21740,602,,,,,
2006,90,,Walleye pollock,21740,684,,,,,
2006,90,,Walleye pollock,21740,702,,,,,
2006,90,,Walleye pollock,21740,658,,,,,
2006,90,,Walleye pollock,21740,696,,,,,
2006,91,,Pacific cod,21720,615,,,,,
2006,91,,Pacific cod,21720,660,,,,,
2006,91,,Walleye pollock,21740,698,,,,,
2006,91,,Walleye pollock,21740,737,,,,,
2006,91,,Walleye pollock,21740,642,,,,,
2006,91,,Walleye pollock,21740,697,,,,,
2006,91,,Walleye pollock,21740,725,,,,,
2006,91,,Walleye pollock,21740,600,,,,,
2006,91,,Walleye pollock,21740,649,,,,,
2006,91,,Walleye pollock,21740,660,,,,,
2006,93,,Pacific cod,21720,702,,,,,
2006,93,,Pacific cod,21720,670,,,,,
2006,93,,Pacific cod,21720,653,,,,,
2006,93,,Pacific cod,21720,645,,,,,
2006,93,,Pacific cod,21720,521,,,,,
2006,93,,Walleye pollock,21740,685,,,,,
2006,93,,Walleye pollock,21740,613,,,,,
2006,93,,Walleye pollock,21740,624,,,,,
2006,93,,Walleye pollock,21740,728,,,,,
2006,93,,Walleye pollock,21740,683,,,,,
2006,93,,Walleye pollock,21740,707,,,,,
2006,94,,Walleye pollock,21740,757,,,,,
2006,94,,Walleye pollock,21740,575,,,,,
2006,94,,Walleye pollock,21740,627,,,,,
2006,94,,Walleye pollock,21740,676,,,,,
2006,94,,Walleye pollock,21740,709,,,,,
2006,94,,Walleye pollock,21740,671,,,,,
2006,95,,Walleye pollock,21740,694,,,,,
2006,95,,Walleye pollock,21740,690,,,,,
2006,95,,Walleye pollock,21740,680,,,,,
2006,95,,Walleye pollock,21740,631,,,,,
2006,95,,Walleye pollock,21740,628,,,,,
2006,95,,Walleye pollock,21740,682,,,,,
2006,95,,Walleye pollock,21740,630,,,,,
2006,97,,Walleye pollock,21740,778,,,,,
2006,98,,Pacific halibut,10120,748,,,,,
2006,98,,Pacific cod,21720,552,,,,,
2006,98,,Pacific cod,21720,671,,,,,
2006,98,,Pacific cod,21720,753,,,,,
2006,98,,Pacific cod,21720,605,,,,,
2006,98,,Walleye pollock,21740,668,,,,,
2006,98,,Walleye pollock,21740,779,,,,,
2006,98,,Walleye pollock,21740,704,,,,,
2006,99,,Walleye pollock,21740,722,,,,,
2006,99,,Walleye pollock,21740,685,,,,,
2006,100,,Yellowfin sole,10210,642,,,,,
2006,100,,Yellowfin sole,10210,632,,,,,
2006,100,,Yellowfin sole,10210,641,,,,,
2006,100,,Yellowfin sole,10210,595,,,,,
2006,100,,Yellowfin sole,10210,511,,,,,
2006,100,,Yellowfin sole,10210,715,,,,,
2006,100,,Yellowfin sole,10210,608,,,,,
2006,100,,Yellowfin sole,10210,533,,,,,
2006,100,,Yellowfin sole,10210,485,,,,,
2006,100,,Walleye pollock,21740,716,,,,,
2006,100,,Walleye pollock,21740,716,,,,,
2006,100,,Walleye pollock,21740,757,,,,,
2006,100,,Walleye pollock,21740,705,,,,,
2006,100,,Pacific cod,21720,554,,,,,
2006,100,,Pacific cod,21720,612,,,,,
2006,100,,Pacific cod,21720,793,,,,,
2006,100,,Pacific cod,21720,590,,,,,
2006,101,,Walleye pollock,21740,768,,,,,
2006,102,,Walleye pollock,21740,793,,,,,
2006,102,,Walleye pollock,21740,762,,,,,
2006,102,,Pacific cod,21720,635,,,,,
2006,102,,Pacific cod,21720,588,,,,,
2006,102,,Pacific cod,21720,494,,,,,
2006,102,,Pacific cod,21720,679,,,,,
2006,102,,Pacific cod,21720,550,,,,,
2006,102,,Pacific cod,21720,594,,,,,
2006,103,,Walleye pollock,21740,700,,,,,
2006,103,,Pacific cod,21720,572,,,,,
2006,104,,Walleye pollock,21740,667,,,,,
2006,104,,Walleye pollock,21740,635,,,,,
2006,104,,Pacific cod,21720,604,,,,,
2006,105,,Pacific cod,21720,572,,,,,
2006,105,,Pacific cod,21720,601,,,,,
2006,105,,Pacific cod,21720,592,,,,,
2006,105,,Pacific cod,21720,561,,,,,
2006,105,,Pacific cod,21720,825,,,,,
2006,105,,Pacific cod,21720,604,,,,,
2006,105,,Pacific cod,21720,625,,,,,
2006,105,,Pacific cod,21720,655,,,,,
2006,105,,Pacific cod,21720,694,,,,,
2006,105,,Pacific cod,21720,685,,,,,
2006,105,,Pacific cod,21720,642,,,,,
2006,105,,Pacific cod,21720,604,,,,,
2006,105,,Pacific cod,21720,602,,,,,
2006,105,,Pacific cod,21720,579,,,,,
2006,105,,Pacific cod,21720,543,,,,,
2006,105,,Pacific cod,21720,532,,,,,
2006,105,,Pacific cod,21720,596,,,,,
2006,105,,Pacific cod,21720,652,,,,,
2006,105,,Pacific cod,21720,543,,,,,
2006,105,,Pacific cod,21720,572,,,,,
2006,105,,Pacific cod,21720,648,,,,,
2006,105,,Pacific cod,21720,612,,,,,
2006,105,,Pacific cod,21720,632,,,,,
2006,105,,Pacific cod,21720,575,,,,,
2006,105,,Pacific cod,21720,592,,,,,
2006,105,,Pacific cod,21720,870,,,,,
2006,105,,Pacific cod,21720,428,,,,,
2006,105,,Pacific cod,21720,612,,,,,
2006,105,,Pacific cod,21720,590,,,,,
2006,105,,Pacific cod,21720,591,,,,,
2006,105,,Pacific cod,21720,570,,,,,
2006,105,,Pacific cod,21720,596,,,,,
2006,105,,Pacific cod,21720,550,,,,,
2006,105,,Pacific cod,21720,566,,,,,
2006,105,,Pacific cod,21720,665,,,,,
2006,105,,Pacific cod,21720,603,,,,,
2006,105,,Walleye pollock,21740,812,,,,,
2006,105,,Walleye pollock,21740,724,,,,,
2006,105,,Walleye pollock,21740,628,,,,,
2006,105,,Walleye pollock,21740,644,,,,,
2006,105,,Walleye pollock,21740,630,,,,,
2006,105,,Walleye pollock,21740,651,,,,,
2006,105,,Walleye pollock,21740,675,,,,,
2006,105,,Walleye pollock,21740,602,,,,,
2006,105,,Walleye pollock,21740,628,,,,,
2006,105,,Walleye pollock,21740,669,,,,,
2006,105,,Walleye pollock,21740,638,,,,,
2006,105,,Walleye pollock,21740,706,,,,,
2006,105,,Walleye pollock,21740,738,,,,,
2006,105,,Walleye pollock,21740,681,,,,,
2006,105,,Walleye pollock,21740,679,,,,,
2006,105,,Walleye pollock,21740,736,,,,,
2006,105,,Walleye pollock,21740,622,,,,,
2006,105,,Walleye pollock,21740,671,,,,,
2006,105,,Walleye pollock,21740,634,,,,,
2006,105,,Walleye pollock,21740,752,,,,,
2006,105,,Walleye pollock,21740,720,,,,,
2006,105,,Walleye pollock,21740,688,,,,,
2006,105,,Walleye pollock,21740,734,,,,,
2006,105,,Walleye pollock,21740,670,,,,,
2006,105,,Walleye pollock,21740,679,,,,,
2006,105,,Walleye pollock,21740,650,,,,,
2006,105,,Walleye pollock,21740,719,,,,,
2006,105,,Walleye pollock,21740,610,,,,,
2006,105,,Walleye pollock,21740,712,,,,,
2006,105,,Walleye pollock,21740,659,,,,,
2006,105,,Walleye pollock,21740,736,,,,,
2006,105,,Walleye pollock,21740,652,,,,,
2006,105,,Walleye pollock,21740,618,,,,,
2006,105,,Walleye pollock,21740,669,,,,,
2006,105,,Walleye pollock,21740,701,,,,,
