# 1996 Trawl survey length weight data ,,,,,,,,,,
# PC_liver PC_stomac PC_sex: Sampled for P-cod.,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
1996,38,,,21735,210,,,5,,
1996,38,,,21735,220,,,5,,
1996,38,,,21735,230,,,13,,
1996,38,,,21735,240,,,8,,
1996,38,,,21735,250,,3.6,8,,
1996,38,,,21735,260,,,4,,
1996,38,,,21735,270,,,4,,
1996,38,,,21735,290,,,,,
1996,38,,,21735,310,,,,,
1996,38,,,21735,150,,,,,
1996,38,,,21735,180,,,,,
1996,38,,,21735,190,,,4,,
1996,38,,,21735,200,,,5,,
1996,38,,,21735,210,,3.7,5,,
1996,38,,,21735,220,,,10,,
1996,38,,,21735,230,,,17,,
1996,38,,,21735,240,,,13,,
1996,38,,,21735,250,,2.7,4,,
1996,38,,,21735,260,,,2,,
1996,38,,,21735,270,,,3,,
1996,38,,,21735,280,,,2,,
1996,39,,,21735,140,,,2,,
1996,39,,,21735,150,,,3,,
1996,39,,,21735,160,,,10,,
1996,39,,,21735,170,,,2,,
1996,39,,,21735,180,,2.3,4,,
1996,39,,,21735,190,,,4,,
1996,39,,,21735,200,,,4,,
1996,39,,,21735,210,,,12,,
1996,39,,,21735,220,,,12,,
1996,39,,,21735,230,,,17,,
1996,39,,,21735,240,,,21,,
1996,39,,,21735,250,,,11,,
1996,39,,,21735,260,,,10,,
1996,39,,,21735,270,,,5,,
1996,39,,,21735,280,,,,,
1996,39,,,21735,290,,,,,
1996,39,,,21735,140,,,,,
1996,39,,,21735,150,,,6,,
1996,39,,,21735,160,,,3,,
1996,39,,,21735,170,,,6,,
1996,39,,,21735,180,,,6,,
1996,39,,,21735,190,,,10,,
1996,39,,,21735,200,,,4,,
1996,39,,,21735,210,,,13,,
1996,39,,,21735,220,,,15,,
1996,39,,,21735,230,,,20,,
1996,39,,,21735,240,,,11,,
1996,39,,,21735,250,,,23,,
1996,39,,,21735,260,,,11,,
1996,39,,,21735,270,,,5,,
1996,39,,,21735,280,,,3,,
1996,39,,,21735,290,,3.4,2,,
1996,39,,,21735,300,,,,,
1996,39,,,21735,310,,,,,
1996,25,,,21740,770,,,,,
1996,30,,,21740,730,,,,,
1996,30,,,21740,760,,,,,
1996,30,,,21740,770,,,,,
1996,30,,,21740,790,,,,,
1996,30,,,21740,690,,,,,
1996,30,,,21740,720,,,,,
1996,29,,,21740,740,,,,,
1996,29,,,21740,680,,,,,
1996,31,,,21740,760,,,,,
1996,32,,,21740,130,,,,,
1996,32,,,21740,790,,,2,,
1996,32,,,21740,770,,2.7,,,
1996,34,,,21740,790,,,,,
1996,35,,,21740,110,,,,,
1996,35,,,21740,140,,,,,
1996,35,,,21740,130,,,,,
1996,35,,,21740,680,,,,,
1996,36,,,21740,840,,,,,
1996,36,,,21740,750,,,,,
1996,38,,,21740,750,,,2,,
1996,39,,,21740,760,,,,,
1996,41,,,21740,710,,,,,
1996,41,,,21740,730,,,,,
1996,41,,,21740,760,,,,,
1996,42,,,21740,710,,,,,
1996,43,,,21740,760,,,,,
1996,43,,,21740,690,,,,,
1996,44,,,21740,760,,,,,
1996,44,,,21740,140,,,,,
1996,45,,,21740,770,,,,,
1996,45,,,21740,730,,,2,,
1996,46,,,21740,770,,,2,,
1996,46,,,21740,160,,,2,,
1996,47,,,21740,690,,,,,
1996,47,,,21740,710,,,,,
1996,47,,,21740,730,,,,,
1996,47,,,21740,780,,,,,
1996,47,,,21740,810,,,,,
1996,48,,,21740,710,,,,,
1996,48,,,21740,790,,,,,
1996,49,,,21740,700,,,,,
1996,49,,,21740,730,,,,,
1996,50,,,21740,700,,,,,
1996,50,,,21740,730,,,,,
1996,51,,,21740,670,,,,,
1996,51,,,21740,620,,,,,
1996,51,,,21740,150,,,,,
1996,52,,,21740,740,,,,,
1996,61,,,21740,730,,,,,
1996,61,,,21740,770,,,,,
1996,62,,,21740,760,,,,,
1996,62,,,21740,790,,,,,
1996,62,,,21740,670,,,,,
1996,63,,,21740,830,,,,,
1996,63,,,21740,710,,,,,
1996,64,,,21740,760,,,,,
1996,64,,,21740,790,,,,,
1996,64,,,21740,700,,,,,
1996,65,,,21740,770,,,,,
1996,65,,,21740,750,,,,,
1996,68,,,21740,650,,,2,,
1996,68,,,21740,790,,,,,
1996,72,,,21740,740,,,,,
